query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag-ppr,azure,none,0,3312,1228,245,1473,APM-023;APM-036;FDR-030;APM-030,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;BIT-025;ENG-043;AUTO-022;APM-030;EPS-024;SEC-020;FMS-042,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag-ppr,azure,none,0,3048,1257,233,1490,FMS-006;SEC-020;FMS-010;HMI-033,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037;NBC3-NAV-001;FMS-042;FMS-022;FMS-020;FMS-035;NAV-002;HMI-033;BIT-033;FCC-044;HMI-210,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,graphrag-ppr,azure,none,0,3623,1379,154,1533,FUEL-011;FMS-018,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014;FMS-043;ENG-025;FUEL-012;EMS-017;ENG-020;FDR-016;STR7-FCC-003;GCS-013;ENG-030;INS-020,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,graphrag-ppr,azure,none,0,4318,1190,296,1486,LDG-015;FCC-048;LDG-031,LDG-031;LDG-015;FCC-048;INS-015;NAV-013;FCC-033;ALX2-INS-001;INS-054;INS-021;INS-034;FCC-008;INS-032;LGT-007;BIT-010;FDR-018,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,graphrag-ppr,azure,none,0,1979,1399,133,1532,SEC-017;SEC-005,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019;SEC-023;PLD-012;CDL-021;SEC-032;GCS-009;DLNK-014;GCS-039;SEC-009;CDL-040;DLNK-013,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,graphrag-ppr,azure,none,0,4606,1261,403,1664,INS-020;SAR-013;SAR-009;PLD-019;NAV-027;GPS-010;FCC-043,SAR-009;SAR-013;INS-019;GPS-012;GPS-004;INS-022;NAV-011;PLD-019;INS-020;GPS-015;AUTO-014;INS-009;NAV-027;GPS-010;FCC-043,15,0,,,,,0.2857,1.0,0.4444,1.0,0.1333,7,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,graphrag-ppr,azure,none,0,3710,1345,302,1647,FCC-023;FCC-009;FCC-010;EMS-006,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;EMS-006;FCC-006;BIT-024;BIT-005;EMS-001;EPS-001;EMS-020,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,graphrag-ppr,azure,none,0,3268,1444,208,1652,EMS-034;EMS-006;FCC-009,EMS-034;EPS-024;HMI-120;ENG-008;EMS-005;EMS-009;EMS-035;HMI-210;EMS-023;SEC-010;EMS-006;PWR-032;EPS-006;INS-013;FCC-009,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,graphrag-ppr,azure,none,0,3561,1440,338,1778,STR-008;EMS-020;FCC-049;FCC-021,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021;STR-002;EMS-007;FMS-038;STR-008;FCC-010;FCC-049;STR-024;EMS-006;FCC-009;AUTO-009,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,graphrag-ppr,azure,none,0,4909,1100,386,1486,GCS-010;FDR-045;GCS-018;FDR-002,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018;FDR-035;FDR-022;FCC-012;FDR-008;LDG-026;NBC3-GPS-002;AUTO-010;FDR-045;FMS-022;FMS-026,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,graphrag-ppr,azure,none,0,2359,1506,133,1639,HMI-020;ALX2-FCC-003,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009;HMI-060;HMI-010;HMI-045;FMS-038;ADS-014;AUTO-010;FCC-017;AUTO-031;ADS-026;FDR-016,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
