query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,2-hop,agentic,azure,none,1,16490,4365,623,4988,FCC-047;BIT-008;BIT-036;FCC-015,FCC-047;FCC-015;FCC-051;FCC-043;FCC-042;FCC-051;FCC-015;FCC-047;FCC-043;FCC-042;BIT-036;BIT-008;BIT-028;BIT-032;BIT-026,15,1,sufficient,semantic,,,False,"The answer is empty and does not address the question, so it cannot be verified from the provided contexts.",True,FCC-047 and BIT-008 support that FCC’s 1 Hz BIT status reporting drives both FDR health-record storage and BIT subsystem’s consolidated health-status publication.,,skipped,False
What upstream navigation timing service requirement justifies the payload computer’s UTC sensor timestamping accuracy and source-selection behavior?,1-hop,agentic-graph,azure,none,2,22024,6921,724,7645,NAV-027;NAV-022,NAV-027;NAV-010;NAV-022;NAV-002;NAV-030;ICE-017;ICE-016;ICE-008;ICE-002;ICE-018,10,3,continue,semantic,,,False,"The answer is missing, so no factual claims can be verified against the provided contexts.",True,NAV-027 explicitly describes the upstream time-synchronisation service's UTC source-selection and accuracy requirements.,,skipped,False
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,3+-hop,vanilla,azure,none,0,4889,552,188,740,STR-015;RADAR-017;RADAR-009;COMM-018;RADAR-025,STR-015;RADAR-017;RADAR-009;COMM-018;RADAR-025,5,0,,,,,True,"The answer makes no factual claims, so it is vacuously supported by the provided contexts.",False,No context provided a security requirement tracing through autonomy functions to a radar interface constraint; security requirements are not mentioned or referenced.,,skipped,False
"Which GPS requirement traces through the security and emergency-management requirements to ultimately satisfy the navigation requirement, and what end-to-end rationale links them?",3+-hop,agentic-graph,azure,none,1,27334,8519,1124,9643,GPS-022;SEC-028;EMS-021;NAV-028,SEC-028;COMM-018;INS-013;GPS-006;FDR-022;NAV-002;GPS-008;FCC-009;GPS-023;NAV-028;EMS-021;EMS-033;GPS-022;INS-029,14,3,continue,semantic,,,False,"The answer is missing, so no grounded chain or rationale can be verified from the provided contexts.",True,"The trace is supported: GPS-022 triggers the security monitor (SEC-028), which coordinates with emergency management (EMS-021), and NAV-028 references these for navigation input security; the rational",,skipped,False
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",3+-hop,graphrag,azure,none,2,9864,1470,263,1733,SEC-014;SEC-012;SEC-016;SEC-003_1;SEC-002;SEC-004;SEC-028;SEC-015;APM-029;BIT-020;BIT-031;EMS-021;EMS-033;FCC-011;FCC-044,SEC-014;SEC-012;SEC-016;SEC-003_1;SEC-002;SEC-004;SEC-028;SEC-015;APM-029;BIT-020;BIT-031;EMS-021;EMS-033;FCC-011;FCC-044,15,0,,,,,False,The answer is empty and does not identify any security requirement or downstream reference from the provided contexts.,True,"The security requirement SEC-015 is cited by the payload design (APM-029) and downstream referenced in BIT-020 and BIT-031 as satisfied by SEC-015, which is confirmed in the provided contexts.",,skipped,False
Which GPS requirement is ultimately fulfilled via the security control referenced by the navigation requirement traced from the original GPS requirement?,3+-hop,vanilla,azure,none,0,4102,553,141,694,SEC-028;FDR-022;COMM-018;NAV-028;GPS-023,SEC-028;FDR-022;COMM-018;NAV-028;GPS-023,5,0,,,,,False,The contexts do not show any original GPS requirement traced to a navigation requirement that references a security control and is ultimately fulfilled by another GPS requirement.,True,"NAV-028 traces to GPS.GPS-022, which is satisfied by SEC-028's security control.",,skipped,False
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",1-hop,graphrag,azure,none,1,3999,1568,126,1694,GPS-034;GPS-014;FMS-044;FDR-070;ENG-042;FCC-055;ENG-043;FCC-052;ENG-036;ENG-039;FCC-013;FCC-014;FCC-015;FCC-036;FDR-004,GPS-034;GPS-014;FMS-044;FDR-070;ENG-042;FCC-055;ENG-043;FCC-052;ENG-036;ENG-039;FCC-013;FCC-014;FCC-015;FCC-036;FDR-004,15,0,,,,,False,The answer is empty and does not identify any requirement from the provided contexts.,True,"GPS-034 specifies testing FDE detection and exclusion via RF-simulator satellite-fault injection, referencing detection within time-to-alert as required by GPS-014.",,skipped,False
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",2-hop,graphrag,azure,none,0,4111,1729,136,1865,NAV-001;FMS-001;DLNK-025;NAV-002;ALX2-FMS-001;ALX2-NAV-001;NBC3-NAV-001;SKT1-NAV-001;ADS-020;FCC-004;FMS-006;FMS-012;FMS-020;GPS-030;INS-001,NAV-001;FMS-001;DLNK-025;NAV-002;ALX2-FMS-001;ALX2-NAV-001;NBC3-NAV-001;SKT1-NAV-001;ADS-020;FCC-004;FMS-006;FMS-012;FMS-020;GPS-030;INS-001,15,0,,,,,False,"The contexts identify Skyrunner-T1 as using navigation integration instead of an FMS and its NAV software as DAL-B, but they do not tie Skyrunner-T1 to the live multi-aircraft separation test.",True,"Skyrunner-T1 relies on navigation integration rather than an FMS per FMS-001, and its navigation software runs at DAL-B per NAV-001.",,skipped,False
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",2-hop,agentic-graph,azure,none,0,18150,5537,705,6242,ICE-016;FCC-004;FCC-003,ICE-020;ICE-016;ICE-012;ICE-008;ICE-009;ALX2-FCC-003;STR7-FCC-003;FCC-049;NBC3-FCC-002;NBC3-FCC-004,10,3,continue,semantic,,,False,"The contexts contain no engine telemetry/status message at 2 Hz or waypoint fuel-flow prediction information, so the answer is unsupported.",False,"No context describes engine telemetry message rates, content, or their suitability for fuel-flow prediction validation.",,skipped,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,graphrag,azure,none,0,3665,1856,119,1975,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,15,0,,,,,False,The answer is empty and does not answer the question.,True,"EMS ingests PWR subsystem data via the primary avionics bus at ≥5 Hz (EMS-032), and PWR publishes mode/status at ≥10 Hz (PWR-015, PWR-026), all stated in the contexts.",,skipped,False
