query,query_type,vanilla,agentic,agentic-graph,graphrag,oracle_pipeline,oracle_f1
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",2-hop,1.0,0.8571,0.8380666666666666,0.8214,vanilla,1.0
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",2-hop,0.7301666666666667,1.0,0.9523666666666667,1.0,agentic,1.0
"Can payload sensor health and pointing data reach the GCS with mode-change telemetry within 200 ms, given return-link aggregation and payload status publication rates?",2-hop,0.6667,0.0,0.0,0.8571,graphrag,0.8571
Can the GCS uplink a flight plan change over the command data link while requiring operator confirmation before the FMS activates it?,2-hop,0.2857,0.0,0.13333333333333333,0.39053333333333334,graphrag,0.39053333333333334
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",2-hop,0.46293333333333336,0.19046666666666667,0.0,0.5636666666666666,graphrag,0.5636666666666666
Can the flight data recorder capture fuel-state updates at a rate sufficient to support the flight management system’s top-of-climb and top-of-descent recalculation needs?,2-hop,0.46293333333333336,0.0,0.3333333333333333,0.9166666666666666,graphrag,0.9166666666666666
Do the payload-bay mounting rails and bus routing provide enough EMC shielding for coexistence with the selectable-power VHF transceiver under the CDL’s DO-160G Category Y requirement?,2-hop,0.5290666666666667,0.35556666666666664,0.5476,0.6944666666666667,graphrag,0.6944666666666667
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,0.0,0.0,0.0,0.0,vanilla,0.0
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",2-hop,0.8214,0.0,0.0,0.7079333333333334,vanilla,0.8214
Does the ice-protection power budget and 0.5 Hz zone reporting comply with the electrical subsystem’s continuous essential-bus generator load limit?,1-hop,0.8000000000000002,0.5238,0.46293333333333336,0.6476000000000001,vanilla,0.8000000000000002
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,1-hop,0.8000000000000002,0.3555333333333333,0.34523333333333334,0.8000000000000002,vanilla,0.8000000000000002
"Does the selected VHF transceiver transmit power remain compliant with EMC coexistence expectations for the CDL, GPS, and radar altimeter under DO-160G Category Y?",2-hop,0.5,0.48146666666666665,0.2619,0.6667,graphrag,0.6667
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",2-hop,0.7111333333333333,0.3333333333333333,0.2222333333333333,1.0,graphrag,1.0
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",2-hop,0.8571,0.5555666666666667,0.4666666666666666,0.6667,vanilla,0.8571
"During a 50 ms Category Z primary-power interruption, what essential-bus hold-up energy provision ensures both navigation output continuity and uninterrupted FCC inner-loop execution?",2-hop,1.0,0.8690333333333333,0.8214,0.8571,vanilla,1.0
"During a single-engine-out event, what automatic detection, rudder-trim, and crew alerting sequence supports altitude hold with the remaining engine at 95% power?",2-hop,1.0,0.7111333333333333,0.6111333333333333,0.5714,vanilla,1.0
"During an MBIT firmware update, how should invalid or expired signature detection drive FMS mode transition and allowable navigation capability?",2-hop,0.6031666666666666,0.19046666666666667,0.0,0.5476,vanilla,0.6031666666666666
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",2-hop,0.9523666666666667,0.7238000000000001,0.7746,0.6222333333333333,vanilla,0.9523666666666667
"During high-power takeoff, how does the FCC’s reserve N1 limiting affect pitch-rate reduction logic and the engine-status data published to downstream systems?",2-hop,0.5476,0.3,0.33966666666666673,0.6040666666666666,graphrag,0.6040666666666666
