query,pipeline,repeat,query_type,gpt5,gpt41,gemini,gemini_reason
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",adaptive,2,2-hop,False,True,True,The answer accurately reflects requirement FDR-070 and correctly identifies the missing context regarding the specific EMS status cadence.
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",agentic-graph,2,2-hop,False,True,True,All factual statements made in the answer are directly supported by the retrieved contexts.
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,1,1-hop,False,True,True,All factual claims in the answer are directly supported by requirements APM-037 and APM-009 in the retrieved contexts.
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",agentic,2,2-hop,False,False,True,All claims in the answer are supported by the retrieved contexts.
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",vanilla,2,3+-hop,False,False,True,"All claims in the answer are accurately supported by the retrieved contexts, and the missing requirement references are correctly acknowledged."
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,1,1-hop,True,False,True,"The answer accurately states that no requirement in the retrieved contexts demonstrates EMS ingesting power-subsystem mode/status at 5 Hz, supported by accurate citations of EPS-020, PWR-015, and EMS-"
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,adaptive,0,2-hop,True,True,True,"All claims in the answer are supported directly by the provided contexts FCC-031, FCC-040, and FCC-007."
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",agentic,1,1-hop,True,True,True,All claims in the answer are directly supported by requirements [GPS-014] and [GPS-034] in the retrieved context.
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",adaptive,1,3+-hop,False,True,True,"All factual claims in the answer are directly supported by the retrieved contexts, accurately citing the corresponding requirements without introducing ungrounded facts."
"How does the security requirement propagate through built-in test and power into the instrumentation requirement, and what referenced security dependency must also be considered?",vanilla,2,3+-hop,False,False,True,Every claim in the candidate answer is directly supported by the retrieved contexts or correctly identifies details missing from the context.
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",agentic-graph,1,3+-hop,False,True,True,All facts and requirement citations in the answer are fully supported by the provided retrieved contexts.
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",graphrag,2,2-hop,False,True,True,All claims in the answer are supported by FDR-070 and EMS-008 in the retrieved context.
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",adaptive,2,3+-hop,False,False,True,The answer accurately summarizes the retrieved context chunks and correctly identifies the missing link to the aircraft power-management requirement without hallucinating additional details.
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",adaptive,2,2-hop,True,True,True,All claims made in the answer are directly supported by the retrieved contexts.
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,2,1-hop,True,True,True,"All claims in the answer are directly supported by requirements AUTO-040, AUTO-029, and STR7-AUTO-002."
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",vanilla,1,2-hop,True,False,True,All claims made in the answer are supported by the provided requirement contexts or accurately identify details missing from them.
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic,0,2-hop,False,False,True,All factual statements in the answer are accurate and fully supported by the provided context chunks.
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic,1,2-hop,False,False,True,The answer accurately states that the retrieved context lacks information on coalition sensor handover control and correctly summarizes the available FCC and ICE requirements.
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,vanilla,1,2-hop,False,True,True,All factual claims and citations in the answer are directly supported by the retrieved context.
