query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,local,none,14969,759,233,992,FCC-050;FDR-030;APM-023;EPS-022;PWR-029,FCC-050;FDR-030;APM-023;EPS-022;PWR-029,5,0,,
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic,local,none,26613,3735,587,4322,EPS-011;EPS-005;EPS-020;EPS-022,EPS-020;EPS-022;EPS-011;EPS-005;EPS-024,5,3,continue,semantic
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,local,none,7985,1939,239,2178,FCC-050;FDR-030;APM-023;EPS-022;PWR-029;EPS-020;PWR-031;ENG-019;APM-020;APM-030;APM-036;BIT-029;EMS-008;EMS-032;EPS-011,FCC-050;FDR-030;APM-023;EPS-022;PWR-029;EPS-020;PWR-031;ENG-019;APM-020;APM-030;APM-036;BIT-029;EMS-008;EMS-032;EPS-011,15,0,,
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic-graph,local,none,-1,0,0,0,,,0,0,,
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,vanilla,local,none,-1,0,0,0,,,0,0,,
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic,local,none,-1,0,0,0,,,0,0,,
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag,local,none,-1,0,0,0,,,0,0,,
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic-graph,local,none,-1,0,0,0,,,0,0,,
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,vanilla,local,none,9773,548,298,846,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014,5,0,,
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic,local,none,16407,1958,463,2421,FMS-018;FUEL-014;FMS-039,FMS-018;FUEL-014;FMS-039;FUEL-001;ENG-014,5,0,sufficient,semantic
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,graphrag,local,none,8547,1397,181,1578,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014;FUEL-012;ENG-025;FMS-002;EMS-017;ENG-001;FCC-013;FMS-017;FMS-025;FUEL-010;FUEL-011,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014;FUEL-012;ENG-025;FMS-002;EMS-017;ENG-001;FCC-013;FMS-017;FMS-025;FUEL-010;FUEL-011,15,0,,
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic-graph,local,none,14577,2278,348,2626,FMS-018;FUEL-014;ENG-014,FMS-018;ENG-014;FMS-039;FUEL-014;FUEL-002,5,0,sufficient,semantic
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,vanilla,local,none,7226,525,213,738,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032,5,0,,
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic,local,none,34146,3843,780,4623,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;ENG-044;FCC-040,5,3,continue,semantic
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,graphrag,local,none,8465,1217,216,1433,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032;PLD-035;FCC-048;BIT-023;ALX2-FCC-003;ENG-018;FCC-003;FCC-008;FCC-046;INS-032;LDG-014,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032;PLD-035;FCC-048;BIT-023;ALX2-FCC-003;ENG-018;FCC-003;FCC-008;FCC-046;INS-032;LDG-014,15,0,,
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic-graph,local,none,21451,4322,596,4918,LDG-015;FCC-048;LDG-031,LDG-031;LDG-015;FCC-048;ENG-044;FCC-040,5,3,continue,semantic
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,vanilla,local,none,6446,914,125,1039,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050,5,0,,
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic,local,none,2020,159,79,238,AES-256,,0,0,sufficient,id_lookup
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,graphrag,local,none,6987,1882,123,2005,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050;CDL-021;PLD-012;SEC-020;APM-033;AUTO-006;AUTO-034;BIT-033;CDL-040;COMM-019;DLNK-013,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050;CDL-021;PLD-012;SEC-020;APM-033;AUTO-006;AUTO-034;BIT-033;CDL-040;COMM-019;DLNK-013,15,0,,
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic-graph,local,none,2597,159,68,227,AES-256,,0,0,sufficient,id_lookup
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,vanilla,local,none,7472,514,259,773,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020,5,0,,
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic,local,none,28104,3560,743,4303,NAV-010;WGS-84;NAV-020;NAV-008;NAV-016,NAV-016;NAV-010;NAV-008;NAV-C5;NAV-020,5,3,continue,semantic
