query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
"Who lived longer, Jean-Baptiste-Denis Despré or Lucien Bonaparte Webster?",1-hop,graphrag,azure,none,0,2504,1461,114,1575,2W-000-P08;2W-000-P02,2W-000-P02;2W-000-P04;2W-000-P08;2W-000-P06;2W-000-P03;2W-000-P07;2W-000-P05;2W-000-P09,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
"Who died later, Pieter Corneliszoon Hooft or Rudi Carrell?",1-hop,graphrag,azure,none,0,1572,1481,58,1539,2W-001-P06;2W-001-P05,2W-001-P05;2W-001-P06;2W-001-P04;2W-001-P09;2W-021-P07;2W-001-P02;2W-072-P05;2W-001-P00,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
"Which film came out first, Defendor or Njanum Ente Familiyum?",1-hop,graphrag,azure,none,0,1834,2663,98,2761,2W-002-P00;2W-002-P02,2W-002-P02;2W-002-P00;2W-184-P04;2W-175-P04;2W-076-P01;2W-163-P01;2W-184-P09;2W-088-P04;2W-076-P09;2W-088-P09;2W-163-P00;2W-163-P05;2W-184-P08;2W-163-P08,14,0,,,,,1.0,1.0,1.0,1.0,0.1429,2,2,1,1-hop,False
"Which film came out first, What Women Love or Ramudu Kadu Krishnudu?",1-hop,graphrag,azure,none,0,1258,882,49,931,2W-003-P04;2W-003-P07,2W-003-P04;2W-003-P05;2W-003-P07;2W-003-P03;2W-003-P06;2W-003-P00;2W-003-P02;2W-003-P09,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Does Eddie Murray (Rugby League) have the same nationality as Henry Talbot (Photographer)?,1-hop,graphrag,azure,none,0,1964,1283,91,1374,2W-004-P09;2W-004-P03,2W-004-P05;2W-004-P02;2W-004-P09;2W-004-P03;2W-053-P04;2W-071-P02;2W-138-P02;2W-138-P05,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Do Jan Christiaan Lindeman and Jermano Lo Fo Sang have the same nationality?,1-hop,graphrag,azure,none,0,1818,1444,78,1522,2W-005-P06;2W-005-P09,2W-005-P09;2W-005-P06;2W-005-P01;2W-037-P08;2W-087-P09;2W-005-P08;2W-005-P02;2W-005-P05,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Are both directors of films Tarzan And The Slave Girl and Sweet Crude from the same country?,3+-hop,graphrag,azure,none,0,2513,1569,168,1737,2W-006-P04;2W-006-P03;2W-006-P05;2W-006-P07,2W-006-P04;2W-006-P03;2W-006-P09;2W-006-P07;2W-006-P01;2W-006-P02;2W-138-P07;2W-089-P07;2W-006-P05;2W-089-P06;2W-089-P08;2W-089-P09,12,0,,,,,1.0,1.0,1.0,1.0,0.3333,4,4,3,3+-hop,False
"Who was born first, Heo Keon or Ljiljana Nanušević?",1-hop,graphrag,azure,none,0,1363,837,51,888,2W-007-P05;2W-007-P02,2W-007-P02;2W-007-P05;2W-120-P07;2W-084-P03;2W-120-P06;2W-059-P08;2W-009-P07;2W-059-P04,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,1-hop,graphrag,azure,none,0,1900,2313,90,2403,2W-008-P05;2W-008-P02,2W-193-P00;2W-008-P01;2W-008-P05;2W-008-P02;2W-158-P03;2W-146-P06;2W-038-P06;2W-087-P03;2W-146-P00,9,0,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",2-hop,graphrag,azure,none,0,1441,1234,58,1292,2W-009-P05;2W-009-P03,2W-009-P05;2W-009-P09;2W-009-P04;2W-009-P06;2W-009-P01;2W-001-P01;2W-009-P07;2W-009-P03,8,0,,,,,1.0,1.0,1.0,1.0,0.25,2,2,2,2-hop,False
