query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,answer,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,2-hop,agentic,local,none,2,32647,6658,809,7467,SEC-015;INS-045;RS-422;BIT-020;PWR-027;SEC-020;BIT-033,INS-045;INS-040;INS-015;INS-048;INS-028;BIT-020;BIT-040;BIT-031;BIT-033;BIT-011;SEC-015;PWR-027;FCC-044;APM-029;FCC-006,15,3,continue,semantic,,,"To use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT, the following conditions are explicitly required:

- **Operator authentication must be valid per SEC-015** for the INS maintenance interface [INS-045][SEC-015].
- **Maintenance operations / software updates require multi-factor operator authentication** across the INS maintenance port and MBIT interface [SEC-015].
- The **INS maintenance interface is active only when WoW is asserted** [INS-045].
- The INS interface supports **firmware update** over **RS-422 at 115 200 bps, or optional USB-C service port** [INS-045].

For the **BIT-commanded ground fault-injection** aspect:

- The **BIT subsystem MBIT interface** supports operator-triggered tests and is also **authenticated per SEC-015** [BIT-020][SEC-015].
- Ground fault-injection commands into power-related hardware are permitted only for **ground maintenance** and must be **authenticated via SEC-015** [PWR-027].
- BIT also supports **in-field firmware update for individual LRUs via the MBIT interface**, with **digital-signature verification per SEC-020** and **rollback on failed update** [BIT-033].

So, in combined form:

1. **Aircraft must be on ground with WoW asserted** for the INS maintenance port to be active [INS-045].  
2. **The operator must be authenticated with multi-factor authentication per SEC-015** for both the INS maintenance operation and the BIT/MBIT-triggered maintenance activity [SEC-015][INS-045][BIT-020].  
3. If the firmware update is executed through the **BIT MBIT path**, the update must also satisfy **digital-signature verification and rollback capability** [BIT-033].  

The retrieved requirements do **not** state any additional INS-specific condition tying firmware update directly to “fault-injection testing in progress,” beyond the shared ground-maintenance and authentication constraints [INS-045][BIT-020][PWR-027].",True,All claims are supported by the cited contexts or are careful negative summaries of what the contexts do not add.,True,"All authentication and access conditions for using the INS maintenance port are supported by the retrieved contexts, with no additional requirements asserted beyond those present.",,skipped,True
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,agentic-graph,local,none,0,24637,5993,663,6656,NAV-010;NAV-029;NAV-030;NAV-034;NAV-035;NAV-036,NAV-010;NAV-030;NAV-029;NAV-020;NAV-027;NAV-036;NAV-034;NAV-035;NBC3-NAV-001;NAV-021;NAV-006;NAV-012,12,2,sufficient,semantic,,,"The retrieved requirements do not contain that requirement or its verification evidence.

What the context does contain is:
- NAV publishes the aircraft-state bundle at 50 Hz with transport latency not exceeding 15 ms from the underlying sensor measurement [NAV-010].
- NAV publishes NAV_STATE_MSG at 50 Hz on the avionics bus [NAV-029].
- NAV consumes INS_STATE_MSG at 200 Hz, but that is an input rate, not a NAV publish requirement [NAV-030].

I found no requirement stating:
- a 200 Hz NAV publish rate, or
- a 5 ms end-to-end publish-latency limit, or
- any verification evidence tied to such a requirement.

The only explicit NAV verification items in the provided context address:
- NSE flight-test performance [NAV-034],
- HYBRID→INS_ONLY transition timing [NAV-035],
- filter-divergence/reset behavior [NAV-036].

So, based on the retrieved context, I cannot identify evidence demonstrating a 5 ms end-to-end publish-latency requirement at 200 Hz is met.",True,The answer accurately states that the provided contexts lack any 200 Hz NAV publish or 5 ms end-to-end latency requirement and cite no verification evidence for it.,True,All claims in the answer are directly supported by the retrieved contexts and do not add unsupported details.,,skipped,True
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,3+-hop,vanilla,local,none,0,8578,617,462,1079,CDL-016;CDL-001;DLNK-001;RADAR-001;SEC-001,CDL-016;CDL-001;DLNK-001;RADAR-001;SEC-001,5,0,,,,,"The retrieved context does not contain an “automation-level requirement” nor any requirement linking secure data-link behavior to radar behavior.

What can be stated from the provided requirements is:

- The CDL is a common comms core with security assurance per DO-326A/DO-356A at DAL-B, and CDL software/hardware assurance is DO-178C DAL-B / DO-254 Level B [CDL-001].
- The CDL has one explicit automated behavior in the provided context: it shall automatically reduce return-link data rate in factor-of-2 coarse steps when detected SNR is below threshold for > 3 s, and step back up when SNR recovers [CDL-016].
- Tactical datalink security assurance is also DO-326A/DO-356A at DAL-B, but DLNK applies only to Stratos-7 and AeroLynx-X2 [DLNK-001].
- The radar subsystem applies to Stratos-7, AeroLynx-X2, and Nimbus-C3, with Radar Altimeter software at DAL-A on Stratos-7/AeroLynx-X2 and DAL-B on Nimbus-C3 [RADAR-001].
- Platform cyber/secure-boot requirements are applied at DAL-B security-partition level on all platforms, with DO-326A, DO-356A, and DO-355 scope generally applicable [SEC-001].

So, based on the retrieved text, the only defensible interaction is:

- A secure data-link implementation must be developed/assured under the cited security standards [CDL-001], [DLNK-001], [SEC-001].
- Its defined automation behavior is adaptive return-link rate stepping based on SNR persistence > 3 s [CDL-016].
- No retrieved requirement states that this behavior propagates constraints to the radar subsystem, nor that radar depends on CDL/DLNK automation [RADAR-001].

Therefore: the secure data-link’s compliance posture is defined, and one automated comms behavior is defined, but the propagation of referenced constraints “through automation behavior to the radar subsystem” is not specified in the provided requirements [CDL-001], [CDL-016], [RADAR-001], [SEC-001].",True,The answer only states what is present in the contexts and explicitly notes the missing automation-to-radar linkage.,True,All claims are directly supported or explicitly negated by the retrieved contexts without unstated details.,,skipped,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic-graph,local,none,1,19449,4512,579,5091,STR-008;EMS-020;EMS-033,EMS-020;EMS-033;ENG-040;STR-008;FCC-030,5,3,continue,semantic,,,"The EMS trigger is a **structural-envelope exceedance** defined as **load factor beyond the structural limit in [STR-008] sustained for more than 500 ms** [EMS-020].

The referenced structural limit-load envelope is:
- **Nz +3.5 g / -1.0 g clean**
- **down to +2.0 g / 0.0 g with flaps** [STR-008]

So, if the aircraft exceeds those **limit-load Nz bounds** for **> 500 ms**, the EMS shall:
- **command reduced-manoeuvre rate**
- **notify the operator with `STRUCTURAL_EXCEEDANCE` flag** [EMS-020]

This is also classified as a **P1 emergency-response priority** in the EMS priority table, where the autonomous action is **rate reduction** and the operator role is **notify** [EMS-033].",True,"All claims are directly supported by EMS-020, STR-008, and EMS-033.",True,"All claims are directly supported by the retrieved contexts, including the definition of the structural exceedance, the limit loads, required EMS actions, and the P1 priority classification.",,skipped,True
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",2-hop,graphrag,local,none,2,10172,1757,250,2007,FCC-009;INS-013;EMS-010;EMS-005;NAV-008;INS-009;INS-040;INS-011;AUTO-009;CDL-031;COMM-021;EMS-001;EMS-006;EMS-033;FCC-010,FCC-009;INS-013;EMS-010;EMS-005;NAV-008;INS-009;INS-040;INS-011;AUTO-009;CDL-031;COMM-021;EMS-001;EMS-006;EMS-033;FCC-010,15,0,,,,,"For **loss of valid INS data for ≥ 500 ms with no GPS/barometric fallback valid**, the **FCC shall autonomously transition to EMERGENCY mode within 50 ms** [FCC-009].  

That event is also treated by EMS as an **EMERGENCY** trigger coordinated with the FCC [EMS-006], and the EMS priority table classifies **“INS loss + no GPS” as P1**, with autonomous action **“transition to EMERGENCY”** [EMS-033].  

For notification, **any mode change shall be notified to the GCS within 200 ms via the CDL telemetry, tagged P1 priority** [EMS-010]. The CDL return link transmits telemetry at **20 Hz** [CDL-031].  

So, the required behavior is:
- **Autonomous transition:** FCC to **EMERGENCY within 50 ms** on INS loss with no valid GPS/baro fallback [FCC-009].
- **GCS notification:** mode-change notification **within 200 ms**, sent over **CDL telemetry**, **tagged P1** [EMS-010], consistent with the EMS classification of this trigger as **P1** [EMS-033].",True,"All claims are supported by the cited contexts, with only light inference about the GCS notification applying to this EMERGENCY mode change.",True,All claims about autonomous emergency transition and GCS mode-change notification for INS loss with no valid fallback are explicitly supported by the retrieved requirements.,,skipped,True
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",3+-hop,vanilla,local,none,0,6948,697,350,1047,PWR-003;FCC-055;PWR-001;FCC-001;EPS-001,PWR-003;FCC-055;PWR-001;FCC-001;EPS-001,5,0,,,,,"From the provided context, I can identify the power-driven flight-control requirement chain only up to the FCC ride-through verification, not to any built-in test requirement.

What the retrieved requirements support:
- The governing power standard is MIL-STD-704F [PWR-003].
- The FCC has a “50 ms power-interruption ride-through” requirement, identified as FCC-036, though its text is not included here [FCC-055].
- That FCC requirement is verified by DO-160G §16 Category Z testing with interruption durations 10, 25, 50, and 75 ms on flight-configuration hardware [FCC-055].
- The FCC and PWR documents apply to the same common platform set, so the interaction is that aircraft power characteristics governed under PWR flow into FCC robustness requirements for continued operation through short power interruptions [PWR-001] [FCC-001] [PWR-003] [FCC-055].

So the end-to-end rationale I can support from the retrieved text is:
- Primary electrical power must conform to aircraft power characteristics per MIL-STD-704F [PWR-003].
- The FCC therefore must tolerate a specified short power interruption, namely 50 ms, per FCC-036 as referenced by the verification requirement [FCC-055].
- Compliance is demonstrated by DO-160G §16 Category Z interruption testing at 10, 25, 50, and 75 ms on flight-configuration hardware [FCC-055].

However, the specific “built-in test requirement” and the cited “linked security” requirement are not present in the retrieved context. I cannot determine which BIT requirement is ultimately driven by the power requirement without those intermediate requirements.",False,The answer adds an unsupported claim about a linked security requirement and asserts a power-to-FCC rationale not explicitly established by the retrieved contexts.,True,The answer only includes claims verifiable in the retrieved contexts and correctly notes the absence of information on the built-in test and security requirements.,,skipped,False
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,3+-hop,graphrag,local,none,0,7168,1574,209,1783,DLNK-007;FCC-034;SEC-028;NAV-028;PLD-019;FMS-002;GPS-023;INS-021;DLNK-022;EMS-021;EMS-033;FCC-013;GCS-020;GPS-001;GPS-010,DLNK-007;FCC-034;SEC-028;NAV-028;PLD-019;FMS-002;GPS-023;INS-021;DLNK-022;EMS-021;EMS-033;FCC-013;GCS-020;GPS-001;GPS-010,15,0,,,,,"The navigation requirement is [NAV-028].

Traceability from the provided context:

- [GPS-010] satisfies `##INS.INS-037` and provides UTC time to downstream systems including [FCC-034].
- [DLNK-007] is synchronised with onboard GPS time per [GPS-010].
- The “security control” in the chain is [SEC-028], which is satisfied by navigation requirement [NAV-028] and is also the monitor notified by GPS security indications such as [GPS-023].
- [NAV-028] states that NAV Fusion shall reject security-relevant inputs, deweight spoofed measurements in the Kalman filter, and notify the security monitor per [SEC-028].

So the navigation requirement ultimately supported is **NAV Fusion rejection/deweighting of security-relevant inputs and notification to the security monitor** [NAV-028], [SEC-028], [GPS-023].

I cannot establish a stricter timing-specific support chain beyond that from the retrieved context alone.",False,The answer adds unsupported traceability claims linking GPS-010 to SEC-028/NAV-028 and misstates GPS-010 as satisfying FCC-034.,True,"[NAV-028] is explicitly supported by the contexts as the navigation requirement satisfied by the security control coordinated via [SEC-028], which references [GPS-010] and supports traceability.",,skipped,False
How are authenticated operator mode-change commands from the ground station routed through the data link to engage autopilot modes requiring explicit operator authorization?,2-hop,graphrag,local,none,0,7102,1338,293,1631,AUTO-006;ICE-019;FCC-007;GCS-009;AUTO-021;ENG-022;AUTO-022;LGT-014;APM-009;AUTO-001;AUTO-020;AUTO-025;AUTO-039;CDL-006;CDL-030,AUTO-006;ICE-019;FCC-007;GCS-009;AUTO-021;ENG-022;AUTO-022;LGT-014;APM-009;AUTO-001;AUTO-020;AUTO-025;AUTO-039;CDL-006;CDL-030,15,0,,,,,"Authenticated operator mode-change commands are routed as follows:

- The GCS must enforce RBAC so that only an authenticated PIC can dispatch flight-control commands, including Autopilot commands [GCS-009].
- The CDL receives command frames from the GCS at up to 20 Hz and dispatches them to the Autopilot according to the command-routing table [CDL-030].
- For Autopilot mode engagement, explicit operator engagement is required for any mode other than DAA RESOLUTION and RTB, and those engagement requests must be authenticated per SEC-010 [AUTO-006].

So, for modes requiring explicit operator authorization, the path is:

**authenticated PIC at GCS → GCS flight-control command dispatch → CDL command frame reception and routing → Autopilot mode engagement request**

with the key controls being:
- **authentication/RBAC at the GCS** [GCS-009]
- **CDL transport/routing to AUTO** [CDL-030]
- **Autopilot-side requirement for explicit, authenticated engagement** [AUTO-006]

Related interaction:
- **DAA RESOLUTION** and **RTB** are exceptions that may be engaged autonomously rather than by explicit operator command [AUTO-006], specifically via DAA advisory handling [AUTO-020] and lost-link/RTB logic [AUTO-022], with CDL lost-link timeout initiation also defined in [CDL-006].",True,All factual claims are supported by the cited contexts or by light composition across them.,True,"All claims about the routing path, authentication requirements, exceptions for DAA RESOLUTION and RTB, and GCS/CDL/Autopilot roles are directly supported by the retrieved requirement contexts.",,skipped,True
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",1-hop,agentic-graph,local,none,2,20175,6408,505,6913,HMI-070;INS-006,PLD-006;INS-006;HMI-070;HMI-037;HMI-040;INS-007;INS-040;INS-010;INS-008;HMI-020;HMI-100,11,3,continue,semantic,,,"During the STANDBY → COARSE_ALIGN transition, if motion causes rejection, the INS must annunciate `MOTION_DETECTED` to the operator per `##HMI.HMI-070` [INS-006]. The HMI requirement tied to that indication is to display INS alignment status, including:

- mode
- alignment percent-complete
- time-to-ready estimate [HMI-070]

So, the required HMI alignment-status indication is the INS alignment-status display, and on rejection the operator is to be informed with `MOTION_DETECTED` within that INS alignment-status context [INS-006] [HMI-070].",False,"The contexts support annunciating MOTION_DETECTED and displaying alignment status fields, but do not state that MOTION_DETECTED is shown within the alignment-status display context.",True,All claims about 'MOTION_DETECTED' annunciation and HMI alignment status indication are directly supported by INS-006 and HMI-070.,,skipped,False
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,local,none,1,8772,1939,346,2285,FCC-050;FDR-030;APM-023;EPS-022;PWR-029;EPS-020;PWR-031;ENG-019;APM-020;APM-030;APM-036;BIT-029;EMS-008;EMS-032;EPS-011,FCC-050;FDR-030;APM-023;EPS-022;PWR-029;EPS-020;PWR-031;ENG-019;APM-020;APM-030;APM-036;BIT-029;EMS-008;EMS-032;EPS-011,15,0,,,,,"When the APM detects an APU parameter exceedance, it must shut down the APU per the APU limits logic, and that event is logged to the FDR [APM-023][APM-036].

The required flight-data recording behavior is:

- **APM battery and APU data at 1 Hz nominal** [FDR-030]
- **Increase to 10 Hz for 60 s before and 60 s after any APM fault transition** [FDR-030]

Relevant trigger path:

- The APM monitors **N1 RPM, EGT, and oil pressure at 5 Hz** and shuts down the APU on any exceedance per **APU_Limits** [APM-023]
- The detailed exceedance timing includes:
  - **> 5 s** persistence for **N1** exceedance shutdown [APM-036]
  - **> 200 ms** persistence for **EGT redline** shutdown [APM-036]
- That shutdown/fault event is explicitly logged to **FDR-030** [APM-023]

Additional APM-reported data to FDR includes:

- **battery temperatures, SoC, cell-imbalance, and any fault word at 1 Hz**
- **cell-level detail at 0.1 Hz** [APM-030]

So, for an APU exceedance shutdown event, the recorder must capture the APM/APU dataset at **10 Hz**, spanning a **120 s fault window total: 60 s pre-event + 60 s post-event**, with **1 Hz nominal recording outside that window** [FDR-030].",False,The answer adds unsupported details about a 120 s total fault window and cites shutdown timing only for N1 and EGT while implying full exceedance logic beyond what the contexts state.,True,"All claims about recording rates, fault window, monitored parameters, exceedance logic, and APM/FDR interactions are directly supported by APM-023, APM-030, APM-036, and FDR-030 in the contexts.",,skipped,False
