query,pipeline,repeat,query_type,judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",vanilla,0,1-hop,2026-08-16,True,"All claims about the recording rates, fault-window capture, and logging are directly supported by the retrieved contexts.",935
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,2026-08-16,True,The answer accurately reflects that the retrieved contexts do not mention flight data recording rates or fault-window requirements for APU exceedance shutdown.,863
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag,0,1-hop,2026-08-16,True,"All claims about APU exceedance shutdowns, FDR logging rates (1 Hz nominal, 10 Hz for 60 s before/after fault), battery/APU data, and absence of explicit extra APU parameter details are directly suppo",1868
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic-graph,0,1-hop,2026-08-16,True,The answer accurately reflects that the contexts do not mention any flight data recording rate or fault-window capture requirements for an APU exceedance shutdown.,709
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",adaptive,0,1-hop,2026-08-16,True,"The answer strictly summarizes what is and is not present in the retrievals, with no added requirements details.",751
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",vanilla,0,1-hop,2026-08-16,False,The claim about degrading to direct-to-waypoint operation after INIT-mode failure is unsupported; FMS-010 only specifies this for integrity failures detected during flight.,888
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic,0,1-hop,2026-08-16,False,"The claim about entering FAULT mode within 100 ms is not directly required in INIT mode per contexts; FAULT mode transition upon integrity failure applies to in-flight detection per FMS-010, not INIT.",1338
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,2026-08-16,True,"All listed checks (CRC, signature, AIRAC expiry) and their specifics are directly supported by contexts FMS-006 and SEC-020.",1724
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic-graph,0,1-hop,2026-08-16,True,All claims are directly supported by FMS-006 and SEC-020 in the retrieved contexts.,854
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",adaptive,0,1-hop,2026-08-16,True,"All claims are directly supported by FMS-006 and SEC-020, with no unsupported details added.",874
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,vanilla,0,1-hop,2026-08-16,True,"The answer directly references FUEL-011 as the fuel-totaling requirement that feeds the FMS function in FMS-018, which matches the retrieved contexts.",685
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic,0,1-hop,2026-08-16,True,"All claims about the absence of fuel-totaling and FMS fuel prediction requirements are supported, as the retrieved contexts contain only ADS and FCC requirements without any mention of fuel-totaling o",1420
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,graphrag,0,1-hop,2026-08-16,True,"[FUEL-011] explicitly states that the FUEL subsystem provides total fuel remaining to the FMS for fuel-prediction per FMS-018, matching the answer's claims.",1894
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic-graph,0,1-hop,2026-08-16,True,"Every claim in the answer is supported by the retrieved contexts, which do not include any fuel-totaling requirement.",1038
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,0,1-hop,2026-08-16,True,Every factual claim regarding fuel-totaling requirements and FMS feed is supported by the absence of such information in retrieved contexts.,1195
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,vanilla,0,1-hop,2026-08-16,True,"All claims are directly supported by LDG-031, LDG-015, and FCC-048 contexts.",919
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic,0,1-hop,2026-08-16,True,"All claims about dual-sensor architecture, voting logic, fault injection for verification, 100 ms debounce, and the correct WoW output are directly supported by the retrieved contexts.",861
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,graphrag,0,1-hop,2026-08-16,True,"Every claim in the answer is directly supported by LDG-031, LDG-015, and FCC-048 in the retrieved contexts.",1531
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,2026-08-16,True,"Every claim is directly supported by the retrieved requirements, including fault-injection verification, discrete publication, sensor redundancy, voting logic, DAL-A platform mention, and FCC interfac",860
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,adaptive,0,1-hop,2026-08-16,True,"All claims regarding verification method and architecture are supported directly by LDG-031, LDG-015, and FCC-048.",1337
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,vanilla,0,1-hop,2026-08-16,True,All claims about hardware key storage and non-extractability by software for AES-256 key-wrapped storage are explicitly supported by SEC-005 and SEC-017.,964
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic,0,1-hop,2026-08-16,True,"The answer correctly states that without any retrieved contexts, it cannot identify the required details.",328
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,2026-08-16,True,All claims about hardware-protection (HSM or secure element) and non-extractability by software are directly supported by SEC-005 and SEC-017.,1818
