query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
What does ADS-014 specify about pitot blockage detection?,id_lookup,vanilla,local,none,9237,663,215,878,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027,5,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,agentic,local,none,2062,229,103,332,ADS-014;HMI-090,ADS-014,1,0,sufficient,id_lookup
What does ADS-014 specify about pitot blockage detection?,id_lookup,graphrag,local,none,9431,1407,255,1662,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027;ADS-005;STR-006;ADS-002;ADS-016;ADS-019;NAV-010;STR-022;FMS-007;ICE-008;INS-012,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027;ADS-005;STR-006;ADS-002;ADS-016;ADS-019;NAV-010;STR-022;FMS-007;ICE-008;INS-012,15,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,agentic-graph,local,none,3599,366,132,498,ADS-014;HMI-090,ADS-014;ADS-026;HMI-090,3,0,sufficient,id_lookup
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,vanilla,local,none,7053,743,175,918,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016,5,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,agentic,local,none,24762,4930,751,5681,ADS-002;ADS-C5;ADS-023;FCC-020;ADS-012;FCC-022,ADS-C5;ADS-023;ADS-001;ADS-002;ADS-006;FCC-022;FCC-001;FCC-038;FCC-C5;FCC-020,10,3,continue,semantic
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,graphrag,local,none,8367,1623,260,1883,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016;FCC-023;FCC-C5;ALX2-AUTO-001;ADS-012;ADS-024;ALX2-FCC-002;ALX2-FCC-004;AUTO-025;AUTO-028;BIT-024,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016;FCC-023;FCC-C5;ALX2-AUTO-001;ADS-012;ADS-024;ALX2-FCC-002;ALX2-FCC-004;AUTO-025;AUTO-028;BIT-024,15,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,agentic-graph,local,none,27718,6064,765,6829,ADS-022;ADS-023;ADS-012;FCC-022,ADS-022;ADS-C5;ADS-023;ADS-002;ADS-001;FCC-022;FCC-038;FCC-001;ALX2-FCC-004;FCC-037,10,3,continue,semantic
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,vanilla,local,none,5922,709,125,834,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013,5,0,,
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,agentic,local,none,11817,2014,184,2198,ADS-005;ADS-002,ADS-005;ADS-013;ADS-002;ADS-014;ADS-023,5,0,sufficient,semantic
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,graphrag,local,none,6650,1316,139,1455,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013;STR-006;STR-022;ADS-008;ADS-016;ADS-026;HMI-090;NAV-010;FMS-007;INS-012,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013;STR-006;STR-022;ADS-008;ADS-016;ADS-026;HMI-090;NAV-010;FMS-007;INS-012,14,0,,
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,agentic-graph,local,none,13979,3311,269,3580,ADS-005,ADS-005;ADS-013;ADS-002;ADS-014;ADS-023,5,1,sufficient,semantic
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,vanilla,local,none,7064,523,198,721,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001,5,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,agentic,local,none,17265,3658,272,3930,ADS-005,ADS-001;ADS-003;ADS-005;ADS-008;ADS-022,5,3,continue,semantic
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,graphrag,local,none,7933,1414,223,1637,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001;ADS-021;ADS-005;ADS-018;CDL-038;COMM-006;FMS-020;INS-002;PWR-012;ALX2-FCC-001;COMM-027,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001;ADS-021;ADS-005;ADS-018;CDL-038;COMM-006;FMS-020;INS-002;PWR-012;ALX2-FCC-001;COMM-027,15,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,agentic-graph,local,none,18955,4317,289,4606,ADS-005,ADS-001;ADS-003;ADS-005;ADS-008;ADS-022,5,3,continue,semantic
What is the dual-redundancy strategy for air data on each platform?,comparative,vanilla,local,none,12293,557,470,1027,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015,5,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,agentic,local,none,22197,4495,593,5088,ADS-003;ADS-017;ADS-021,ADS-017;ADS-003;ADS-001;ADS-016;ADS-023;ADS-010;ADS-021;ADS-006;ADS-C5;ADS-002,10,3,continue,semantic
What is the dual-redundancy strategy for air data on each platform?,comparative,graphrag,local,none,10324,1394,297,1691,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015;CDL-001;ALX2-FCC-001;FDR-001;BIT-002;COMM-002;DLNK-002;FCC-003;FCC-008;FCC-048;GCS-031,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015;CDL-001;ALX2-FCC-001;FDR-001;BIT-002;COMM-002;DLNK-002;FCC-003;FCC-008;FCC-048;GCS-031,15,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,agentic-graph,local,none,25809,5428,640,6068,ADS-003;ADS-017,ADS-017;ADS-003;ADS-001;ADS-016;ADS-023;ADS-017;ADS-003;ADS-001;ADS-023;ADS-016,10,3,continue,semantic
How is the heater for the pitot and static ports monitored?,cross_module,vanilla,local,none,7228,627,207,834,ICE-008;ADS-019;ADS-027;STR-022;ICE-020,ICE-008;ADS-019;ADS-027;STR-022;ICE-020,5,0,,
How is the heater for the pitot and static ports monitored?,cross_module,agentic,local,none,21232,3576,466,4042,ADS-019;ADS-023;ADS-027,ADS-019;ADS-027;ADS-014;ADS-023;ADS-026,5,3,continue,semantic
