query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,vanilla,azure,none,0,4974,484,166,650,MQ-000-P10;MQ-000-P07;MQ-000-P19,MQ-000-P10;MQ-000-P19;MQ-000-P00;MQ-000-P07;MQ-000-P01,5,0,,,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,graphrag,azure,none,0,4343,773,122,895,MQ-000-P10;MQ-000-P19;MQ-000-P07,MQ-000-P10;MQ-000-P19;MQ-000-P00;MQ-000-P07;MQ-000-P01;MQ-000-P05;MQ-000-P09;MQ-000-P06,8,0,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,agentic-graph,azure,none,0,14556,3992,398,4390,MQ-000-P10;MQ-000-P07;MQ-000-P19,MQ-000-P10;MQ-000-P07;MQ-000-P19;MQ-000-P00;MQ-000-P01,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,vanilla,azure,none,0,2310,872,51,923,MQ-001-P04;MQ-001-P09,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-082-P10;MQ-001-P11,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,graphrag,azure,none,0,3057,1648,48,1696,MQ-001-P04;MQ-001-P09,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-082-P10;MQ-001-P11;MQ-035-P15;MQ-001-P00;MQ-001-P05;MQ-082-P09;MQ-082-P15,10,0,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,agentic-graph,azure,none,0,13784,4431,338,4769,MQ-001-P04;MQ-001-P09,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-035-P15;MQ-001-P11,5,3,continue,semantic,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,vanilla,azure,none,0,2590,1154,68,1222,MQ-002-P19,MQ-002-P19;MQ-055-P16;MQ-055-P15;MQ-002-P16;MQ-055-P19,5,0,,,,,1.0,0.5,0.6667,0.5,0.2,1,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,graphrag,azure,none,0,4316,1719,132,1851,MQ-002-P00;MQ-002-P19,MQ-002-P19;MQ-055-P16;MQ-055-P15;MQ-002-P16;MQ-055-P19;MQ-055-P02;MQ-002-P03;MQ-002-P15;MQ-002-P00,9,0,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,agentic-graph,azure,none,0,12193,4593,327,4920,MQ-002-P19,MQ-002-P19;MQ-002-P08;MQ-055-P16;MQ-055-P15;MQ-002-P16,5,3,continue,semantic,,,1.0,0.5,0.6667,0.5,0.2,1,2,1,1-hop,False
Where was Mary's betrothed born?,1-hop,vanilla,azure,none,0,2527,996,71,1067,MQ-003-P10;MQ-012-P14;MQ-003-P06,MQ-003-P10;MQ-003-P11;MQ-003-P05;MQ-012-P14;MQ-003-P06,5,0,,,,,0.0,0.0,0.0,0.5,0.2,3,2,1,1-hop,False
