query,pipeline,repeat,query_type,gemini_judged_on,gemini_faithful,gemini_reason,gemini_tokens,gpt41_judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
"Who lived longer, Jean-Baptiste-Denis Despré or Lucien Bonaparte Webster?",graphrag,0,1-hop,2026-08-21,True,"All dates, calculated lifespans, and the conclusion that Jean-Baptiste-Denis Despré lived longer are supported by the retrieved contexts.",1951,2026-08-20,True,All dates and the length of life of both individuals are supplied by the retrieved contexts.,1593
"Who died later, Pieter Corneliszoon Hooft or Rudi Carrell?",graphrag,0,1-hop,2026-08-21,True,All dates of death and the conclusion that Rudi Carrell died later are fully supported by the retrieved contexts.,1978,2026-08-20,True,Both death dates for Pieter Corneliszoon Hooft and Rudi Carrell are explicitly supported in the retrieved contexts.,1569
"Which film came out first, Defendor or Njanum Ente Familiyum?",graphrag,0,1-hop,2026-08-21,True,All claims regarding release dates and comparisons between the two films are directly supported by the retrieved contexts.,3188,2026-08-20,True,All date claims about the films are directly supported by the retrieved contexts.,2751
"Which film came out first, What Women Love or Ramudu Kadu Krishnudu?",graphrag,0,1-hop,2026-08-21,True,The answer accurately uses information from the provided contexts indicating What Women Love came out in 1920 and Ramudu Kadu Krishnudu came out in 1983.,1305,2026-08-20,True,Both film release years are explicitly stated in the retrieved contexts.,961
Does Eddie Murray (Rugby League) have the same nationality as Henry Talbot (Photographer)?,graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the nationalities of Eddie Murray and Henry Talbot are fully supported by the provided contexts.,1804,2026-08-20,True,All nationality claims are directly supported by the retrieved contexts.,1394
Do Jan Christiaan Lindeman and Jermano Lo Fo Sang have the same nationality?,graphrag,0,1-hop,2026-08-21,True,Both individuals are explicitly identified as Dutch in the provided contexts.,1875,2026-08-20,True,Both are described as Dutch in the retrieved contexts.,1543
Are both directors of films Tarzan And The Slave Girl and Sweet Crude from the same country?,graphrag,0,3+-hop,2026-08-21,True,"All claims regarding the directors, their film credits, and their biographical details are fully supported by the retrieved contexts.",2180,2026-08-20,True,Every claim about the directors and what is stated in the contexts is supported; the contexts do not provide enough information to fully answer the country question.,1753
"Who was born first, Heo Keon or Ljiljana Nanušević?",graphrag,0,1-hop,2026-08-21,False,The answer incorrectly claims that Heo Keon (born 1988) was born before Ljiljana Nanušević (born 1981).,1265,2026-08-20,False,"The answer incorrectly claims Heo Keon was born first, but the contexts show Ljiljana Nanušević was born in 1981 and Heo Keon in 1988.",934
Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,graphrag,0,1-hop,2026-08-21,True,The birth dates of both individuals and the conclusion that Kazimierz Cichowski was born first are fully supported by the contexts.,2884,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,2395
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",graphrag,0,2-hop,2026-08-21,True,The answer accurately states that the retrieved context identifies Mary of Enghien as Catherine's mother but does not mention her place of death.,1653,2026-08-20,True,"The answer only states that the location of death is not provided, which matches the contexts.",1302
Who is Princess Caroline Napoléon's maternal grandmother?,graphrag,0,2-hop,2026-08-21,True,All claims in the answer are directly supported by contexts 2W-010-P05 and 2W-010-P00.,1714,2026-08-20,True,The answer is directly supported by the information in the provided contexts.,1286
