query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",2-hop,adaptive,local,none,2,13924,2038,288,2326,FDR-070;FDR-016,EMS-034;FCC-052;FDR-070;CDL-040;FCC-050,5,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",False,The answer is empty and does not answer the question from the provided contexts.,True,"FDR-070 explicitly states to run a 60-minute HIL mission and extract recorded data, confirming every required parameter, including timestamps and rates, which would cover EMS status if included in FDR",,skipped,False
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",2-hop,agentic-graph,local,none,2,30821,5748,716,6464,RJ-45;FCC-044;LDG-020;SEC-015;FCC-037;FCC-007;FCC-006,FCC-044;FCC-006;FCC-037;FCC-040;FCC-007;ICE-019;ICE-020;ICE-017;ICE-001;ICE-008,10,3,continue,semantic,,,False,The answer is empty and does not provide any supported response to the question.,True,"All claims about ground Ethernet port enablement (WoW asserted, groundcrew-inhibit released) and authentication of maintenance traffic are directly stated in FCC-044.",,skipped,False
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,1-hop,adaptive,local,none,1,5729,1662,130,1792,APM-037;AUTO-039;ENG-041;INS-053;EMS-C4;EMS-020;EMS-034;APM-009;AUTO-022;EMS-006;EMS-033;ENG-010;FCC-010;INS-020;PWR-032,APM-037;AUTO-039;ENG-041;INS-053;EMS-C4;EMS-020;EMS-034;APM-009;AUTO-022;EMS-006;EMS-033;ENG-010;FCC-010;INS-020;PWR-032,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,The answer is empty and does not state the referenced requirement APM-009.,True,APM-037 cites APM-009 as the endurance-capacity requirement verified by laboratory discharge at the RTB-load profile for 30 minutes.,,skipped,False
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",2-hop,agentic,local,none,2,32144,4938,987,5925,SEC-010;EMS-009;HMI-120;COMM-019;COMM-030,EMS-033;COMM-019;EMS-009;COMM-030;EMS-034;COMM-019;COMM-030;EMS-034;EMS-033;SEC-003,10,3,continue,semantic,,,False,The answer is empty and does not provide the requested conditions supported by the contexts.,False,"No context specifies authentication method for command execution, nor full communication link encryption/authentication requirements; only encrypted UHF voice with valid keys is covered.",,skipped,True
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",3+-hop,vanilla,local,none,2,8695,513,393,906,FUEL-001;FUEL-017;FUEL-002;FUEL-016;ENG-014,FUEL-001;FUEL-017;FUEL-002;FUEL-016;ENG-014,5,0,,,,,False,The answer is empty and does not address the trace or dependency stated in the retrieved contexts.,False,"There is no explicit trace from engine management through fuel system behavior to cockpit indication, nor is any specific fuel-related dependency fed back into control path stated in the contexts.",,skipped,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,graphrag,local,none,1,7772,2040,251,2291,EMS-031;APM-032;ADS-020;BIT-036;PWR-009;EPS-020;PWR-015;PWR-006;ADS-022;APM-034;FDR-016;FDR-028;GCS-015;NAV-002;NAV-030,EMS-031;APM-032;ADS-020;BIT-036;PWR-009;EPS-020;PWR-015;PWR-006;ADS-022;APM-034;FDR-016;FDR-028;GCS-015;NAV-002;NAV-030,15,0,,,,,True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,False,No context explicitly states the equipment management system ingests power-subsystem mode/status at 5 Hz; contexts only mention EPS publishing this at 5 Hz on the bus.,,skipped,False
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,2-hop,adaptive,local,none,0,30760,5663,1141,6804,FCC-031;FCC-040;CDL-035;FCC-007,ADS-023;ADS-014;ADS-016;ADS-026;ADS-024;FCC-040;FCC-007;FCC-031;FCC-037;FCC-038,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,True,"FCC-031 and FCC-040 explicitly state that the FCC validates incoming commands from the GCS for range, rate, and sequence according to the Command_Validation table and rejects any command that fails va",,skipped,True
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",1-hop,agentic,local,none,1,9649,1854,248,2102,GPS-034;GPS-014;GPS-032,GPS-014;GPS-034;ENG-043;ENG-042;FCC-023,5,0,sufficient,semantic,,,True,GPS-034 is the test requirement in the contexts that verifies GPS-014 by RF-simulator satellite-fault injection.,True,Test requirement GPS-034 verifies GPS-014 by RF-simulator satellite-fault injection as described in the retrieved contexts.,,skipped,True
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",3+-hop,adaptive,local,none,1,9187,1581,344,1925,FUEL-001;FUEL-017;FUEL-002;FUEL-016;ENG-014;FUEL-008;FUEL-007;FUEL-018;EMS-017;ENG-001;FUEL-010;FUEL-026;STR-032;FDR-016;FMS-015,FUEL-001;FUEL-017;FUEL-002;FUEL-016;ENG-014;FUEL-008;FUEL-007;FUEL-018;EMS-017;ENG-001;FUEL-010;FUEL-026;STR-032;FDR-016;FMS-015,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,"The answer is missing, so no factual claims can be verified against the provided contexts.",True,"Every claim about requirement tracing, fuel system behavior, cockpit indication, and fuel-related feedback is supported in the contexts via FUEL-010, ENG-014, FUEL-026, and related references.",,skipped,False
"How does the security requirement propagate through built-in test and power into the instrumentation requirement, and what referenced security dependency must also be considered?",3+-hop,vanilla,local,none,2,7382,528,282,810,SEC-016;BIT-001;SEC-004;BIT-003;SEC-002,SEC-016;BIT-001;SEC-004;BIT-003;SEC-002,5,0,,,,,False,The answer is empty and does not address the propagation or any referenced security dependency from the provided contexts.,False,The answer contains no claims and thus cannot be supported or unsupported by the contexts.,,skipped,True
