query,pipeline,repeat,query_type,judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
"Who lived longer, Jean-Baptiste-Denis Despré or Lucien Bonaparte Webster?",graphrag,0,1-hop,2026-08-20,True,All dates and the length of life of both individuals are supplied by the retrieved contexts.,1593
"Who died later, Pieter Corneliszoon Hooft or Rudi Carrell?",graphrag,0,1-hop,2026-08-20,True,Both death dates for Pieter Corneliszoon Hooft and Rudi Carrell are explicitly supported in the retrieved contexts.,1569
"Which film came out first, Defendor or Njanum Ente Familiyum?",graphrag,0,1-hop,2026-08-20,True,All date claims about the films are directly supported by the retrieved contexts.,2751
"Which film came out first, What Women Love or Ramudu Kadu Krishnudu?",graphrag,0,1-hop,2026-08-20,True,Both film release years are explicitly stated in the retrieved contexts.,961
Does Eddie Murray (Rugby League) have the same nationality as Henry Talbot (Photographer)?,graphrag,0,1-hop,2026-08-20,True,All nationality claims are directly supported by the retrieved contexts.,1394
Do Jan Christiaan Lindeman and Jermano Lo Fo Sang have the same nationality?,graphrag,0,1-hop,2026-08-20,True,Both are described as Dutch in the retrieved contexts.,1543
Are both directors of films Tarzan And The Slave Girl and Sweet Crude from the same country?,graphrag,0,3+-hop,2026-08-20,True,Every claim about the directors and what is stated in the contexts is supported; the contexts do not provide enough information to fully answer the country question.,1753
"Who was born first, Heo Keon or Ljiljana Nanušević?",graphrag,0,1-hop,2026-08-20,False,"The answer incorrectly claims Heo Keon was born first, but the contexts show Ljiljana Nanušević was born in 1981 and Heo Keon in 1988.",934
Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,2395
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",graphrag,0,2-hop,2026-08-20,True,"The answer only states that the location of death is not provided, which matches the contexts.",1302
Who is Princess Caroline Napoléon's maternal grandmother?,graphrag,0,2-hop,2026-08-20,True,The answer is directly supported by the information in the provided contexts.,1286
Where was the father of Alina Fernández born?,graphrag,0,2-hop,2026-08-20,False,"Context [2W-011-P05] states Fidel Castro was born in Birán, Oriente, supporting the claim if it identified him as Alina Fernández’s father.",1967
"Who died later, Adam Purple or Chyskillz?",graphrag,0,1-hop,2026-08-20,True,The death dates for Adam Purple and Chyskillz are explicitly provided and compared in the retrieved contexts.,1475
"Which film whose director was born first, Lions For Lambs or Nowhere In Africa?",graphrag,0,3+-hop,2026-08-20,True,"The answer correctly identifies the directors, their birthdates, and concludes Lions for Lambs' director was born first, all of which are stated in the retrieved contexts.",1888
"Which film came out earlier, Where Are You? I'M Here or Patnam Vachina Pativrathalu?",graphrag,0,1-hop,2026-08-20,True,"The context explicitly provides the release years for both films, supporting the answer.",874
"Where was the place of death of Crato, Count Of Nassau-Saarbrücken's father?",graphrag,0,2-hop,2026-08-20,True,Both claims are directly supported by the retrieved contexts.,1687
"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",graphrag,0,3+-hop,2026-08-20,True,All claims about directors and their birth dates are directly supported by the provided contexts.,1120
"Do Kim Darby and John Birdsall (Politician, Born 1840) have the same nationality?",graphrag,0,1-hop,2026-08-20,True,Both Kim Darby and John Birdsall are identified as American in the retrieved contexts.,1106
"Which film whose director was born first, Sin'S Pay Day or Gunaah (1993 Film)?",graphrag,0,3+-hop,2026-08-20,True,All facts about directors and their birth dates are directly supported by the contexts.,3286
Who was the teacher of the composer of film The Cousin From Nowhere (1953 Film)?,graphrag,0,2-hop,2026-08-20,True,"All claims are directly supported: Eduard Künneke composed the operetta, and he was an advanced student of Max Bruch.",1610
"Who is older, Arnold Carl Johansen or Walter Lafferty?",graphrag,0,1-hop,2026-08-20,True,All factual claims (birthdates and comparison) are directly supported by the retrieved contexts.,1413
"Who was born first, Cornelis Gijsbert Gerrit Jan Van Steenis or Tarsem King, Baron King Of West Bromwich?",graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly provided and compared directly from the given contexts.,1417
"Did the movies Mille Bolle Blu and La Moglie Vergine, originate from the same country?",graphrag,0,1-hop,2026-08-20,True,Both films are explicitly described as Italian in the provided contexts.,1243
"Who is older, Daniel David Moses or Stanislas Batchi?",graphrag,0,1-hop,2026-08-20,True,All birth dates and the comparison are explicitly supported by the contexts.,1125
"Which film came out first, Blood And Diamonds or Opened By Mistake?",graphrag,0,1-hop,2026-08-20,True,The release years for both films are explicitly stated in the retrieved contexts.,971
When was Richard Bootle-Wilbraham's father born?,graphrag,0,2-hop,2026-08-20,True,"The answer only cites information present in the retrieved contexts, specifically from [2W-025-P04] and [2W-025-P06].",1687
"Which film has the producer who is older, Dweepa or Kalank?",graphrag,0,3+-hop,2026-08-20,True,"All claims regarding the producers' names, birthdates, and associated films are supported by the retrieved contexts.",3298
Who was born first out of Gerda Weissensteiner and Stasys Šaparnis?,graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,979
Who is the paternal grandfather of George Tupou V?,graphrag,0,2-hop,2026-08-20,True,All claims about the paternal lineage and requirement IDs are directly supported by the retrieved contexts.,1006
"Which film has the director who is older than the other, Odd Job (Film) or Everything'S Ducky? ",graphrag,0,3+-hop,2026-08-20,True,"All claims about film-director pairs, birth dates, and conclusion are directly supported by the contexts.",2262
