query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens,gpt41_faithful,gpt41_reason,gpt41_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",vanilla,0,1-hop,2026-08-20,True,"All recording rates, fault-window durations, and monitoring thresholds are directly verified by the retrieved requirements APM-023, FDR-030, and APM-036.",1657,True,All statements about recording rates and fault-window timing are directly supported by FDR-030 and APM-023; shutdown logic and thresholds are supported by APM-036 and APM-023.,1024
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,2026-08-20,True,The answer accurately states that the requested information is missing from the retrieved contexts and correctly summarizes the available related requirements.,1793,True,The answer faithfully summarizes only what is present in the retrieved contexts and clearly disclaims everything not supported.,1239
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag,0,1-hop,2026-08-20,True,"All claims regarding APM monitoring, shutdown persistence criteria, and FDR recording rates and fault-window capture are directly supported by the context.",2562,True,"All factual claims about monitoring rates, shutdown persistence, FDR requirements, and EPS reaction are supported by the retrieved contexts.",1754
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic-graph,0,1-hop,2026-08-20,True,"All claims are fully supported by the retrieved contexts, and missing information regarding FDR rates and fault-window captures is accurately acknowledged.",2530,True,"All stated claims are grounded in the provided contexts, and unsupported requirements are clearly identified as not specified.",1872
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",adaptive,0,1-hop,2026-08-20,True,"The answer accurately states that the retrieved context lacks the specific FDR requirements requested, while correctly summarizing the relevant provided context chunks.",2924,True,The answer only states what is present or absent in the retrieved contexts without adding unsupported details.,2305
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",vanilla,0,1-hop,2026-08-20,True,"All factual claims are directly supported by the text of FMS-006, and the answer accurately states that further details from SEC-020 are not present in the provided context.",1284,True,"All claims in the answer are strictly supported by the retrieved contexts, with explicit acknowledgment of the lack of detail regarding signature-validation from SEC-020.",873
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic,0,1-hop,2026-08-20,True,The answer accurately notes that the provided context does not contain the requested FMS signature verification requirements and only cites facts directly supported by NAV-005.,1095,True,The answer accurately states that the retrieved contexts do not specify any signed-manifest or signature-validation checks for navigation database acceptance in INIT mode.,728
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,2026-08-20,True,All statements and requirement citations accurately reflect the provided context without introducing unsupported claims.,2157,True,"All claims made are supported by the retrieved contexts, and missing signature-validation requirements are explicitly noted as unavailable.",1671
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic-graph,0,1-hop,2026-08-20,True,"All claims regarding navigation database loading, CRC verification against the signed manifest, AIRAC expiration checks, and test-level signature region rejection are directly supported by the context",1925,True,All stated checks and observations are directly supported; no unwarranted details were introduced beyond what is in the retrieved requirements.,1363
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",adaptive,0,1-hop,2026-08-20,True,All statements in the answer accurately reflect the provided requirements and appropriately note the absence of further signature-validation details.,1197,True,All claims are directly supported by FMS-006 and the absence of detail on SEC-020 in the retrieved contexts is correctly noted.,847
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by and accurately cited from the retrieved contexts.,1617,True,"[FUEL-015] explicitly requires the FUEL subsystem to provide fuel-flow data to the FMS fuel-prediction function, which is referenced in [FMS-018] describing the prediction outputs.",820
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context contains no fuel-totaling requirements and correctly identifies the unrelated FMS reference in FCC-032.,2888,True,The answer correctly states that no fuel-totaling requirement or related claim is present in the provided contexts.,2177
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,graphrag,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by the provided requirement contexts.,2211,True,All claims and requirement IDs are directly supported and cited in the retrieved contexts.,1505
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic-graph,0,1-hop,2026-08-20,True,The answer is fully supported by requirements FUEL-011 and FMS-018 in the retrieved contexts.,1048,True,"The answer correctly identifies FUEL-011 as the requirement providing total fuel remaining to the FMS for fuel-prediction per FMS-018, which computes destination and alternate fuel predictions and min",739
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,0,1-hop,2026-08-20,True,All statements and requirement citations in the answer are directly supported by the retrieved contexts.,1328,True,"[FUEL-011] provides total fuel to the FMS for fuel-prediction per FMS-018, which computes FOD, FOA, and minimum-fuel-alert, as described in the contexts.",983
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by the retrieved requirement contexts.,1173,True,"All claims are directly grounded in or clearly summarized from the retrieved requirements, with no unsupported details added.",786
