query,query_type,vanilla,agentic,agentic-graph,graphrag,oracle_pipeline,oracle_f1
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",2-hop,0.9523666666666667,0.8856999999999999,0.8380666666666666,0.9166666666666666,vanilla,0.9523666666666667
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",2-hop,1.0,0.6507999999999999,0.6412666666666667,1.0,vanilla,1.0
"Can payload sensor health and pointing data reach the GCS with mode-change telemetry within 200 ms, given return-link aggregation and payload status publication rates?",2-hop,0.5714,0.060599999999999994,0.268,0.9523666666666667,graphrag,0.9523666666666667
Can the GCS uplink a flight plan change over the command data link while requiring operator confirmation before the FMS activates it?,2-hop,0.3174333333333333,0.0,0.0,0.42960000000000004,graphrag,0.42960000000000004
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",2-hop,0.2619,0.0,0.0,0.3535,graphrag,0.3535
Can the flight data recorder capture fuel-state updates at a rate sufficient to support the flight management system’s top-of-climb and top-of-descent recalculation needs?,2-hop,0.4126666666666667,0.0,0.0,0.5476,graphrag,0.5476
Do the payload-bay mounting rails and bus routing provide enough EMC shielding for coexistence with the selectable-power VHF transceiver under the CDL’s DO-160G Category Y requirement?,2-hop,0.5793666666666667,0.5,0.6031666666666666,0.7222333333333334,graphrag,0.7222333333333334
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,0.5,0.3889,0.16666666666666666,0.4000000000000001,vanilla,0.5
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",2-hop,0.5,0.0,0.0,0.5818333333333333,graphrag,0.5818333333333333
Does the ice-protection power budget and 0.5 Hz zone reporting comply with the electrical subsystem’s continuous essential-bus generator load limit?,1-hop,0.8000000000000002,0.3656333333333333,0.39786666666666665,0.8666666666666667,graphrag,0.8666666666666667
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,1-hop,0.8000000000000002,0.3333333333333333,0.2738,0.8000000000000002,vanilla,0.8000000000000002
"Does the selected VHF transceiver transmit power remain compliant with EMC coexistence expectations for the CDL, GPS, and radar altimeter under DO-160G Category Y?",2-hop,0.5,0.5370333333333334,0.5555666666666667,0.6667,graphrag,0.6667
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",2-hop,0.6667,0.4444666666666666,0.0,0.9523666666666667,graphrag,0.9523666666666667
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",2-hop,0.8571,0.43333333333333335,0.4212,0.7301666666666667,vanilla,0.8571
"During a 50 ms Category Z primary-power interruption, what essential-bus hold-up energy provision ensures both navigation output continuity and uninterrupted FCC inner-loop execution?",2-hop,0.8571,0.8214,0.8690333333333333,0.8571,agentic-graph,0.8690333333333333
"During a single-engine-out event, what automatic detection, rudder-trim, and crew alerting sequence supports altitude hold with the remaining engine at 95% power?",2-hop,0.75,0.6349333333333332,0.6984,0.8214,graphrag,0.8214
"During an MBIT firmware update, how should invalid or expired signature detection drive FMS mode transition and allowable navigation capability?",2-hop,0.4000000000000001,0.13333333333333333,0.2857,0.33966666666666673,vanilla,0.4000000000000001
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",2-hop,0.9523666666666667,0.7746,0.7301666666666667,0.6444666666666666,vanilla,0.9523666666666667
"During high-power takeoff, how does the FCC’s reserve N1 limiting affect pitch-rate reduction logic and the engine-status data published to downstream systems?",2-hop,0.5,0.2896666666666667,0.2857,0.75,graphrag,0.75
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",1-hop,1.0,1.0,0.6666666666666666,0.8666666666666667,vanilla,1.0
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",2-hop,0.5714,0.6349333333333332,0.8000000000000002,0.5714,agentic-graph,0.8000000000000002
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",2-hop,0.4867333333333333,0.45236666666666664,0.6746,0.8190333333333334,graphrag,0.8190333333333334
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",2-hop,0.17856666666666668,0.5476,0.6238,0.6444666666666666,graphrag,0.6444666666666666
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",2-hop,0.8571,0.25923333333333337,0.3185,0.8571,vanilla,0.8571
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",2-hop,1.0,1.0,0.3333333333333333,1.0,vanilla,1.0
"For an uplinked flight-plan modification, what operator-logged evidence is required before activation, and how does the referenced data-link verification demonstrate secure command handling?",2-hop,0.3055333333333334,0.3119,0.34523333333333334,0.5555666666666667,graphrag,0.5555666666666667
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",2-hop,0.8571,0.5166666666666667,0.26666666666666666,0.5356666666666666,vanilla,0.8571
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",1-hop,0.6031666666666666,0.5333333333333333,0.5333333333333333,0.6111333333333333,graphrag,0.6111333333333333
"For civil Nimbus-C3 operations, what SBAS processing capability is required for the INS to achieve the SORA OC-3 containment volume navigation performance?",2-hop,0.48889999999999995,0.0,0.0,0.8214,graphrag,0.8214
"For ground maintenance fault injection through the power subsystem via the built-in test interface, what operator authentication is required and where must it be enforced?",2-hop,0.8571,0.25,0.0,0.8571,vanilla,0.8571
"For ground-maintenance fault-injection commands sent from BIT to the power subsystem, what operator authentication must be completed first, and by what login method?",2-hop,0.8571,0.3174666666666666,0.6825,0.8571,vanilla,0.8571
"For ground-maintenance fault-injection on the power subsystem via the BIT maintenance interface, what operator authentication is required before BPCU commands are accepted?",2-hop,0.8571,0.0,0.0,0.8571,vanilla,0.8571
"For high-altitude operation to 44,000 ft, what GPS-aided NAV position accuracy limit must the INS still meet?",1-hop,0.8000000000000002,0.0,0.0,0.8889,graphrag,0.8889
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",2-hop,0.8000000000000002,0.8000000000000002,0.26666666666666666,0.75,vanilla,0.8000000000000002
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",2-hop,1.0,0.8000000000000002,0.7523666666666666,0.8412666666666667,vanilla,1.0
"For operator fuel commands sent over the data link, what encryption/authentication scheme and key-rotation rule must the interface comply with?",2-hop,0.7555666666666667,1.0,0.8690333333333333,0.5476,agentic,1.0
"For payload telemetry forwarded for downlink, which fuel-control operator command path must the return-link interface also support, and under what authentication requirement?",2-hop,0.5714,0.4920333333333333,0.38093333333333335,0.5793666666666667,graphrag,0.5793666666666667
"For secure UHF voice operation, what encryption/authentication scheme and key-rotation policy apply, and what happens if no valid key is loaded?",2-hop,0.7857,0.6031666666666666,0.6031666666666666,0.7222333333333334,vanilla,0.7857
