query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",2-hop,adaptive,azure,none,2,13725,1930,414,2344,FDR-070;FDR-016;EMS-018,FCC-012;FCC-009;EMS-034;FDR-070;EMS-018,5,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",False,The answer is empty and does not answer the question from the provided contexts.,False,The answer is missing; cannot determine support or faithfulness without any claims to judge.,,skipped,True
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",2-hop,agentic-graph,azure,none,2,12256,2716,432,3148,RJ-45;LDG-020;FCC-044;SEC-015,FCC-044;FCC-006;FCC-036;FCC-055;FCC-015;ICE-008;ICE-019;ICE-018;ICE-004;ICE-015,10,0,sufficient,semantic,,,True,"The answer makes no factual claims, so there is nothing unsupported by the provided contexts.",True,All claims about authentication of maintenance traffic and the conditions for Ethernet port enabling are directly supported by FCC-044.,,skipped,True
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,1-hop,adaptive,azure,none,1,4220,1341,136,1477,APM-037;APM-009;CDL-025;DLNK-016;PWR-035;PWR-018;FCC-055;COMM-016;AUTO-022;EMS-029;FCC-036;GPS-026;INS-035;NAV-026;PLD-028,APM-037;APM-009;CDL-025;DLNK-016;PWR-035;PWR-018;FCC-055;COMM-016;AUTO-022;EMS-029;FCC-036;GPS-026;INS-035;NAV-026;PLD-028,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,The answer is empty and does not identify the referenced endurance-capacity requirement APM-009.,True,"APM-037 explicitly states that laboratory discharge at the 30-minute RTB-load profile verifies requirement APM-009, which specifies the endurance-capacity requirement.",,skipped,False
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,1-hop,agentic,azure,none,2,19966,3634,389,4023,STR-038;PLD-003;DLNK-017;CDL-024,STR-038;PLD-003;STR-004;STR-021;PWR-012,5,3,continue,semantic,,,True,The answer is empty and therefore makes no factual claims beyond the provided contexts.,True,"STR-038 defines the dedicated payload-bus routing with EMC shielding to support the payload controller’s single-LRU installation, as required by PLD-003.",,skipped,True
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",2-hop,vanilla,azure,none,2,6652,614,381,995,AUTO-006;FCC-011;FCC-007;AUTO-005;AUTO-009,AUTO-006;FCC-011;FCC-007;AUTO-005;AUTO-009,5,0,,,,,False,"The contexts support authenticated explicit engagement for all modes except DAA RESOLUTION and RTB, but do not state how an autonomous-flight engagement command from the ground station must be routed.",False,The contexts do not specify the routing path for commands from ground station or detail how commands must be routed; only authentication and engagement requirements are covered.,,skipped,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,graphrag,azure,none,1,5056,1856,175,2031,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,15,0,,,,,False,The answer is empty and does not address the question.,True,"EMS is required to accept PWR inputs via the primary avionics bus at a minimum 5 Hz aggregated rate (EMS-032), and PWR publishes mode/status at ≥10 Hz (PWR-015, PWR-026), supporting the claim.",,skipped,False
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,2-hop,adaptive,azure,none,0,22648,5296,986,6282,FCC-031;FCC-040;CDL-035;FCC-007,ADS-012;ADS-014;ADS-017;ADS-026;ADS-021;FCC-031;FCC-040;FCC-007;FCC-019;FCC-030,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",True,"The answer is empty, so it makes no factual claims beyond what is supported.",True,"The contexts specify that the FCC validates all incoming GCS commands for range, rate, and sequence, rejecting non-conforming commands before they reach the control laws.",,skipped,True
"Which flight control requirement ultimately drives the cockpit interface behavior referenced through the control-chain dependency, and how does that end-to-end traceability flow across avionics and HMI?",3+-hop,agentic,azure,none,0,25088,8334,1096,9430,GCS-022;AUTO-001;FCC-007;FCC-038;HMI-090;ADS-014;HMI-093;ADS-024;HMI-022;FCC-002;HMI-020;FCC-003;CDL-030;ICE-019,FCC-007;FCC-001;FCC-004;NBC3-FCC-002;FCC-038;ICE-019;ICE-006;ICE-008;ICE-002;ICE-003;ADS-004;ADS-014;ADS-020;STR7-ADS-001;ADS-024;ALX2-FCC-003;FCC-C5;SKT1-FCC-003;ICE-001;ICE-009;ADS-026;ADS-017,22,3,continue,semantic,,,False,"The answer is empty and does not address the question, so the required claims about traceability are not supported by the provided contexts.",False,The answer is missing; no claims were made to assess faithfulness.,,skipped,True
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",3+-hop,adaptive,azure,none,1,8630,1599,494,2093,FUEL-026;FUEL-001;FUEL-002;FUEL-017;FUEL-007;ENG-014;FUEL-016;HMI-135;ENG-001;FUEL-010;FUEL-013;HMI-210;STR-032;EMS-014;FDR-016,FUEL-026;FUEL-001;FUEL-002;FUEL-017;FUEL-007;ENG-014;FUEL-016;HMI-135;ENG-001;FUEL-010;FUEL-013;HMI-210;STR-032;EMS-014;FDR-016,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,False,The answer is missing; no factual claims were made to judge against the provided contexts.,,skipped,False
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,azure,none,2,5337,569,313,882,FDR-030;APM-023;APM-008;FMS-010;ENG-009,FDR-030;APM-023;APM-008;FMS-010;ENG-009,5,0,,,,,False,The answer is empty and does not provide the required supported information from the contexts.,True,"All claims about recording rates and fault-window capture are supported: contexts specify 1 Hz nominal and 10 Hz for 60s before/after APM fault transition, and logging/shutdown on APU exceedance.",,skipped,False
Which asymmetric signature algorithms in the crypto selection table are mandated for verifying loadable software and data signatures?,1-hop,agentic-graph,azure,none,2,13882,4420,384,4804,RSA-3072;ECDSA-P256;SEC-017;SEC-020,SEC-020;SEC-017;SEC-010;SEC-005;SEC-032,5,3,continue,semantic,,,False,The answer is empty and does not state the supported algorithms RSA-3072 or ECDSA-P256.,True,The answer can be directly verified from the table stating that RSA-3072 or ECDSA-P256 are mandated for digital signatures on software/database per SEC-020.,,skipped,False
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",2-hop,graphrag,azure,none,2,7785,1480,350,1830,EMS-034;FCC-012;FCC-009;FDR-070;EMS-018;FDR-012;FDR-005;EMS-031;AUTO-009;COMM-022;EMS-001;EMS-006;EMS-010;EMS-033;FCC-010,EMS-034;FCC-012;FCC-009;FDR-070;EMS-018;FDR-012;FDR-005;EMS-031;AUTO-009;COMM-022;EMS-001;EMS-006;EMS-010;EMS-033;FCC-010,15,0,,,,,False,The answer is empty and does not provide any supported procedure or claims from the retrieved contexts.,True,FDR-070 specifies to run a 60-min HIL mission and confirm every parameter (which would include EMS status information if in FDR-016) is present at or above its specified rate with valid timestamps by ,,skipped,False
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,adaptive,azure,none,2,13245,1411,684,2095,SEC-014;FCC-007;SEC-035;SEC-012;AUTO-025;STR-021;COMM-018;AUTO-004;AUTO-001;CDL-024;COMM-029;ENG-022;ENG-037;FCC-005;FCC-013,SEC-014;FCC-007;SEC-035;SEC-012;AUTO-025;STR-021;COMM-018;AUTO-004;AUTO-001;CDL-024;COMM-029;ENG-022;ENG-037;FCC-005;FCC-013,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,True,"The answer contains no factual claims, so there is nothing unsupported by the contexts.",False,No answer provided to evaluate claims or their grounding in the contexts.,,skipped,False
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",2-hop,adaptive,azure,none,2,10952,2387,414,2801,RJ-45;LDG-020;FCC-044;SEC-015,FCC-044;FCC-006;FCC-036;FCC-055;FCC-015;ICE-008;ICE-019;ICE-018;ICE-004;ICE-017,10,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=1, trace_kw=False, chain_ind=True, numeric=False)",False,"The contexts state only that maintenance traffic is authenticated per SEC-015 and the port is active when WoW is asserted on both main gear and groundcrew-inhibit is released, so any more specific aut",True,"All claims about FCC ground Ethernet port enablement (WoW, groundcrew-inhibit released) and maintenance traffic authentication are directly supported by FCC-044.",,skipped,False
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,1-hop,adaptive,azure,none,2,17180,3627,551,4178,AUTO-029;AUTO-040;AUTO-002,AUTO-040;STR7-AUTO-002;AUTO-029;STR7-AUTO-001;STR7-ADS-001,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",True,"The answer contains no factual claims, so nothing is unsupported.",True,"AUTO-040 specifies that autoland centreline touchdown accuracy is verified by 30 simulated approaches with wind profiles, demonstrating at least 95% of touchdowns within ±3 m of centreline.",,skipped,True
"Which autonomous control requirement fulfills the security constraint and, through its referenced autonomy behavior, ultimately traces to the radar interface requirement?",3+-hop,vanilla,azure,none,2,5109,555,306,861,STR-015;RADAR-017;RADAR-025;COMM-018;AUTO-006,STR-015;RADAR-017;RADAR-025;COMM-018;AUTO-006,5,0,,,,,False,The answer is empty and does not identify any autonomous control requirement or trace path from the provided contexts.,False,None of the retrieved contexts show a clear trace from an autonomous control requirement satisfying the security constraint to the radar interface requirement.,,skipped,True
"Which flight-control communication requirement ultimately traces from the cockpit display link, through the controller and automation references, to the final automation behavior requirement?",3+-hop,agentic,azure,none,0,18789,5885,782,6667,GCS-022;AUTO-001;FCC-007;HMI-020;FCC-003;CDL-030;ICE-019,FCC-001;FCC-004;FCC-007;FCC-038;ALX2-FCC-003;ADS-004;ADS-021;ADS-020;ADS-017;STR7-ADS-001;ICE-019;ICE-020;ICE-010;ICE-003;ICE-012,15,3,continue,semantic,,,False,The answer is empty and does not identify any requirement trace chain from the provided contexts.,False,The answer is missing; there is no claim to verify against the retrieved contexts.,,skipped,True
"Which APM requirement is ultimately traced from the EPS power-distribution requirement through the intermediate EPS dependencies, and what system function does that end requirement govern?",3+-hop,agentic,azure,none,1,22688,7899,680,8579,APM-010;EPS-006;PWR-032;PWR-007,EPS-008;EPS-001;EPS-010;EPS-011;EPS-004;EPS-015;EPS-017;EPS-002;EPS-016;EPS-005;APM-027;APM-001;APM-031;APM-029;APM-023;APM-008;APM-007;APM-004;APM-010;APM-033;EPS-006;EPS-012;EPS-007;EPS-021,24,3,continue,semantic,,,False,The answer is empty and does not identify any traced APM requirement or governed system function.,True,"The APM requirement ultimately traced from the EPS power-distribution logic is APM-023, as noted in EPS-011, and APM-023 governs APU health monitoring and shutdown functions, per the retrieved context",,skipped,False
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,1-hop,vanilla,azure,none,2,4402,582,237,819,PLD-009;PLD-033;PLD-021;PLD-003;PLD-016,PLD-009;PLD-033;PLD-021;PLD-003;PLD-016,5,0,,,,,True,"The answer is empty, so it makes no factual claims beyond the provided contexts.",True,All command ID ranges for each sensor or external store are defined explicitly in the Payload_Command_Routing table in PLD-033.,,skipped,True
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,vanilla,azure,none,2,6651,514,235,749,SEC-014;SEC-012;AUTO-006;SEC-035;FCC-007,SEC-014;SEC-012;AUTO-006;SEC-035;FCC-007,5,0,,,,,False,The answer is empty and does not identify any requirement chain or shared security requirement from the provided contexts.,False,"No retrieved context refers to a built-in test requirement for flight control, nor do they show a trace through security constraints specifically to autopilot mode behavior with a security requirement",,skipped,True
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,1-hop,graphrag,azure,none,2,5482,1561,182,1743,FDR-004;GCS-020;PLD-019;NAV-027;FDR-022;GPS-010;INS-037;INS-039;DLNK-007;FCC-029;FCC-034;FDR-016;FDR-020;FDR-070;GPS-028,FDR-004;GCS-020;PLD-019;NAV-027;FDR-022;GPS-010;INS-037;INS-039;DLNK-007;FCC-029;FCC-034;FDR-016;FDR-020;FDR-070;GPS-028,15,0,,,,,False,The answer is empty and does not answer the question from the provided context.,True,"FDR-004 explicitly states that the FDR must timestamp parameters in UTC at native rates using time synchronized via NAV.NAV-027, which defines the required navigation time-synchronization service.",,skipped,False
"How does the flight control computer’s referenced requirement propagate through flight data recording and navigation logic to the underlying GPS requirement, and what end-to-end behavior is mandated?",3+-hop,vanilla,azure,none,1,10412,602,428,1030,FDR-022;FMS-004;GPS-003;AUTO-004;FCC-007,FDR-022;FMS-004;GPS-003;AUTO-004;FCC-007,5,0,,,,,False,The answer is empty and does not address the claimed requirement propagation or end-to-end behavior from the provided contexts.,False,"The answer would require linkage and behavior across the FCC, FDR, FMS, and GPS requirements, but propagation through flight data recording and navigation logic to GPS is not all present or connected ",,skipped,True
