query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,n_cited,n_gold,hop_count,stratum,is_cross_module
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,azure,none,0,5843,569,310,879,FDR-030;APM-023;APM-008;FMS-010;ENG-009,FDR-030;APM-023;APM-008;FMS-010;ENG-009,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic,azure,none,0,17191,3699,574,4273,APM-023;EPS-011;EPS-005;EPS-024,EPS-005;EPS-011;EPS-015;EPS-004;EPS-024,5,3,continue,semantic,,,0.25,0.5,0.3333,0.0,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,azure,none,0,5669,1560,275,1835,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic-graph,azure,none,0,14810,4079,387,4466,APM-023;EPS-011;EPS-005;EPS-024,EPS-011;EPS-005;EPS-023;EPS-024;EPS-015,5,3,continue,semantic,,,0.25,0.5,0.3333,0.0,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,adaptive,azure,none,0,15736,3509,519,4028,APM-023;EPS-011;EPS-024,EPS-011;EPS-005;EPS-023;EPS-024;EPS-015,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.3333,0.5,0.4,0.0,3,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,vanilla,azure,none,0,5044,556,269,825,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic,azure,none,0,32102,5191,575,5766,FMS-006;RSA-3072;ECDSA-P256;SEC-020;FMS-010,FMS-006;SEC-020;FMS-010;FMS-042;SEC-022;FMS-039;FMS-022;SEC-007;SEC-035;SEC-021,10,3,continue,semantic,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag,azure,none,0,5464,1495,245,1740,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037;NBC3-NAV-001;FMS-042;FMS-022;BIT-033;CDL-030;CDL-040;FCC-004;FDR-012;FMS-020;FMS-033,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037;NBC3-NAV-001;FMS-042;FMS-022;BIT-033;CDL-030;CDL-040;FCC-004;FDR-012;FMS-020;FMS-033,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic-graph,azure,none,0,16131,4339,499,4838,FMS-006;RSA-3072;ECDSA-P256;SEC-020,FMS-006;SEC-020;FMS-010;FMS-042;NAV-009,5,3,continue,semantic,,,0.5,1.0,0.6667,1.0,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,adaptive,azure,none,0,6128,556,265,821,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037,5,0,,,vanilla,R5: numeric_hint + single_module (FMS) → top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,vanilla,azure,none,0,3943,505,110,615,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
