query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens,gpt41_faithful,gpt41_reason,gpt41_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag-ppr,0,1-hop,2026-08-20,True,All facts and requirements referenced in the answer are directly supported by the retrieved contexts.,2334,False,"Claims about monitored APU parameters (N1 RPM, EGT, oil pressure at 5 Hz) and exceedance limits (APM-036) are supported, but reference to APM-036 is not present in retrieved contexts and fault-window ",1602
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag-ppr,0,1-hop,2026-08-20,True,"All statements and requirement citations are fully supported by FMS-006, SEC-020, FMS-010, and HMI-033 in the retrieved context.",2271,True,"Every factual claim in the answer is directly supported by the retrieved contexts, including CRC check against the manifest, digital signature validation per SEC-020, signature algorithm requirements,",1599
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,graphrag-ppr,0,1-hop,2026-08-20,True,The answer accurately identifies FUEL-011 and its link to FMS-018 based directly on the provided context.,2095,True,Every claim in the answer is explicitly supported by the retrieved contexts with cited requirement numbers and quoted content.,1617
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,graphrag-ppr,0,1-hop,2026-08-20,True,"All claims in the answer regarding the WoW architecture, voting configuration, debounce period, and fault-injection verification are fully supported by the retrieved contexts LDG-015, FCC-048, and LDG",2008,True,"All claims about architecture, voting, and fault-injection verification are directly supported by LDG-015, FCC-048, and LDG-031.",1581
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag-ppr,0,1-hop,2026-08-20,True,All statements and requirement references are directly supported by SEC-017 and SEC-005.,2146,True,"All claims are directly supported by SEC-005 and SEC-017, which specify hardware-protected key storage (HSM or secure element) and non-extractability by software.",1632
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,graphrag-ppr,0,1-hop,2026-08-20,True,"All factual statements regarding INS_STATE_MSG contents, SAR motion compensation frequencies, geolocation accuracies, and timing services are directly supported by the retrieved requirements.",2570,True,"All claims about published INS state data content, update rates, latency, timing accuracy, and SAR requirements are directly supported by the retrieved contexts.",1756
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,graphrag-ppr,0,1-hop,2026-08-20,True,"All claims, requirement details, and traceability linkages mentioned in the answer are directly supported by the retrieved contexts.",2542,False,"The answer claims that [FCC-023] is linked only as satisfying [EMS-006] in metadata when the retrieved context explicitly states '[FCC-023] Satisfies: ##EMS.EMS-006', and asserts no runaway-actuator f",1777
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",graphrag-ppr,0,1-hop,2026-08-20,True,"All claims regarding the HIL fault-injection test, transition timing, annunciation latency, and triggering conditions are fully supported by EMS-034, EMS-006, and FCC-009.",2463,True,"All claims in the answer are supported by the contexts, specifically EMS-034, EMS-006, and FCC-009.",1741
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,graphrag-ppr,0,1-hop,2026-08-20,True,All statements and requirement citations are fully supported by the retrieved contexts.,2675,True,"All claims about the structural limit-load envelope, 500 ms threshold, and EMS response are directly supported by EMS-020, STR-008, FCC-049, and FCC-021 in the retrieved contexts.",1884
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,graphrag-ppr,0,1-hop,2026-08-20,True,"All claims in the answer are strictly supported by the retrieved requirements (GCS-010, FDR-045, FDR-002, and GCS-018).",2456,True,All claims are grounded in the retrieved requirement contexts and reflect their contents and relationships.,1566
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,graphrag-ppr,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by the retrieved requirements [HMI-020] and [ALX2-FCC-003].,2317,True,[HMI-020] and [ALX2-FCC-003] directly support all claims in the answer.,1726
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",graphrag-ppr,0,1-hop,2026-08-20,True,"All statements in the answer are accurately grounded in the retrieved contexts, which mention NBC3-FCC-003 for the interface but do not specify an FCC lane architecture.",2403,True,"The answer accurately summarizes the contexts, noting the lack of any specified FCC lane architecture and correctly referencing the cited requirements without adding unsupported details.",1628
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",graphrag-ppr,0,1-hop,2026-08-20,True,"All claims regarding CDL routing, link-level authentication, FCC command validation limits, and mode-change authentication are fully supported by the retrieved contexts.",3607,True,"Every factual claim about command routing, validation steps, authentication, and requirement references is directly supported by the provided contexts.",2293
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,graphrag-ppr,0,1-hop,2026-08-20,True,All facts and requirement citations are accurately supported by the provided context.,2388,True,"All claims about interface protocols, bus implementations, and platform-specific bandwidths are directly supported by EOIR-025, PLD-031, and ALX2-PLD-001; the lack of Nimbus-C3 bandwidth is noted expl",1676
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",graphrag-ppr,0,1-hop,2026-08-20,True,"All facts, operational modes, transition preconditions, timing constraints, and requirement references are fully supported by the retrieved contexts.",3036,True,"All modes, preconditions, timings, and associated behaviors are supported by the retrieved contexts.",2077
