query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,azure,none,1,3461,570,184,754,FDR-030;APM-023,FDR-030;APM-023;APM-008;FMS-010;ENG-009,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,azure,none,1,3416,1561,211,1772,APM-036;FDR-030;APM-023,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,vanilla,azure,none,1,4929,557,146,703,SEC-020;FMS-006,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag,azure,none,1,2660,1496,168,1664,FMS-006;SEC-020,FMS-006;SEC-020;FMS-010;SEC-022;HMI-037;NBC3-NAV-001;FMS-042;FMS-022;BIT-033;CDL-030;CDL-040;FCC-004;FDR-012;FMS-020;FMS-033,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,vanilla,azure,none,1,1551,506,128,634,FUEL-011;FMS-018,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,graphrag,azure,none,1,2419,1696,140,1836,FUEL-011;FMS-018,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014;FMS-043;ENG-025;FUEL-012;EMS-017;ENG-020;FMS-025;ENG-038;FDR-016;FUEL-018;GCS-013,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,vanilla,azure,none,1,3615,554,222,776,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;INS-015;NAV-013,5,0,,,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,graphrag,azure,none,1,2366,1295,134,1429,LDG-031;LDG-015,LDG-031;LDG-015;FCC-048;INS-015;NAV-013;FCC-033;ALX2-INS-001;INS-054;ALX2-FCC-002;BIT-010;FCC-008;FDR-018;INS-021;INS-031;INS-032,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,vanilla,azure,none,1,2018,754,103,857,SEC-005;SEC-017,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,graphrag,azure,none,1,837,1706,82,1788,SEC-017;SEC-005,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019;SEC-023;PLD-012;CDL-021;APM-033;AUTO-006;AUTO-034;CDL-040;COMM-030;DLNK-013;EMS-009,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,vanilla,azure,none,1,3667,577,367,944,SAR-013;INS-019;GPS-012;SAR-009,SAR-009;SAR-013;INS-019;GPS-012;GPS-004,5,0,,,,,0.25,0.5,0.3333,0.5,0.2,4,2,1,1-hop,True
