query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
Who married the man who wanted to reform the institution behind the denomination constituting 12.6% of Christians in New Zealand?,3+-hop,vanilla,azure,none,0,3271,1177,88,1265,MQ-153-P13;MQ-153-P15;MQ-183-P17;MQ-153-P08;MQ-175-P13,MQ-153-P13;MQ-153-P15;MQ-183-P17;MQ-153-P08;MQ-175-P13,5,0,,,,,False,The answer is empty and does not answer the question from the provided contexts.,True,All claims and references in the answer are directly supported or appropriately limited by the retrieved contexts.,,skipped,False
When was the region that lies to the north of where Israel is located and where Shamal is located established?,3+-hop,agentic-graph,azure,none,0,10442,2417,348,2765,,,0,3,continue,semantic,,,False,"The answer is empty, so it does not provide a supported response to the question and no contexts were retrieved.",True,The answer correctly notes that there is no supporting context and does not make unsupported factual claims.,,skipped,False
When did the headquarters city of the Blanton's manufacturer elect its first black mayor?,2-hop,vanilla,azure,none,0,3516,859,140,999,MQ-097-P00;MQ-121-P18;MQ-097-P09;MQ-069-P13;MQ-097-P14,MQ-097-P00;MQ-121-P18;MQ-097-P09;MQ-069-P13;MQ-097-P14,5,0,,,,,True,The answer is empty and makes no factual claims.,True,All claims in the answer are directly supported by the retrieved contexts.,,skipped,True
How many times did the plague occur in the city where the painter of The Bacchanal of the Andrians died?,2-hop,graphrag,azure,none,0,3938,2276,103,2379,MQ-076-P00;MQ-115-P09;MQ-076-P06;MQ-093-P04;MQ-076-P15;MQ-076-P16;MQ-093-P05;MQ-115-P15;MQ-076-P11;MQ-093-P06;MQ-115-P04;MQ-115-P12;MQ-093-P17,MQ-076-P00;MQ-115-P09;MQ-076-P06;MQ-093-P04;MQ-076-P15;MQ-076-P16;MQ-093-P05;MQ-115-P15;MQ-076-P11;MQ-093-P06;MQ-115-P04;MQ-115-P12;MQ-093-P17,13,0,,,,,True,"The answer is empty, so it makes no factual claims unsupported by the contexts.",True,All claims in the answer are based on the provided contexts and do not include unsupported information.,,skipped,True
In which county is the city sharing a border with the capitol of the state where WYFG is located?,3+-hop,graphrag,azure,none,0,3801,1449,78,1527,MQ-140-P03;MQ-192-P09;MQ-158-P02;MQ-183-P14;MQ-105-P06;MQ-070-P13;MQ-195-P03;MQ-077-P03;MQ-158-P06;MQ-158-P13,MQ-140-P03;MQ-192-P09;MQ-158-P02;MQ-183-P14;MQ-105-P06;MQ-070-P13;MQ-195-P03;MQ-077-P03;MQ-158-P06;MQ-158-P13,10,0,,,,,False,The answer is empty and does not answer the question from the provided contexts.,True,"All claims about WYFG being in South Carolina, Columbia being the state capital, and Forest Acres being in Richland County are supported by the retrieved contexts.",,skipped,False
What year did the author of The First Blast of the Trumpet Against the Monstruous Regiment of Women die?,1-hop,agentic-graph,azure,none,0,6568,2190,127,2317,,,0,3,continue,semantic,,,True,"The answer contains no factual claims, so nothing is unsupported by the contexts.",False,The answer provides a historical detail (John Knox's death in 1572) not present in the retrieved contexts.,,skipped,False
What is the mascot of William J. Ripple's university?,1-hop,graphrag,azure,none,0,3376,1808,36,1844,MQ-026-P02;MQ-026-P18;MQ-026-P05;MQ-155-P17;MQ-023-P12;MQ-062-P18;MQ-047-P12;MQ-026-P03;MQ-062-P16;MQ-155-P16;MQ-155-P18;MQ-155-P04,MQ-026-P02;MQ-026-P18;MQ-026-P05;MQ-155-P17;MQ-023-P12;MQ-062-P18;MQ-047-P12;MQ-026-P03;MQ-062-P16;MQ-155-P16;MQ-155-P18;MQ-155-P04,12,0,,,,,True,"The answer contains no factual claims, so there is nothing unsupported.",True,Both claims about William J. Ripple's university and its mascot are directly supported by the provided contexts.,,skipped,True
Where did the painter of The Mud Bath study?,1-hop,graphrag,azure,none,0,4655,1246,78,1324,MQ-022-P10;MQ-022-P04;MQ-022-P07;MQ-085-P02;MQ-061-P12;MQ-188-P06;MQ-012-P19;MQ-076-P00;MQ-076-P06;MQ-076-P11,MQ-022-P10;MQ-022-P04;MQ-022-P07;MQ-085-P02;MQ-061-P12;MQ-188-P06;MQ-012-P19;MQ-076-P00;MQ-076-P06;MQ-076-P11,10,0,,,,,True,The contexts identify The Mud Bath's painter as David Bomberg and state he studied at the Slade School of Art.,True,"The answer's claim is directly supported by MQ-022-P07, which states that Bomberg studied at the Slade School of Art.",,skipped,True
When was Q1 who was impeached in england for acts committed as governor general of india impeached?,1-hop,agentic-graph,azure,none,0,14457,4615,374,4989,MQ-052-P01;MQ-052-P18,MQ-052-P18;MQ-052-P16;MQ-052-P01;MQ-052-P00;MQ-068-P10,5,3,continue,semantic,,,False,The answer is empty and does not answer the question from the provided contexts.,True,All stated dates for impeachment and trial are supported in retrieved contexts MQ-052-P01 and MQ-052-P18.,,skipped,False
"Among the top five largest urban areas in the state Jacoby Shaddix' band formed in, where does the city Veoh's headquarters are located rank?",3+-hop,agentic-graph,azure,none,0,13919,3981,471,4452,MQ-174-P07;MQ-183-P06,MQ-174-P13;MQ-174-P07;MQ-183-P06;MQ-110-P09;MQ-024-P02,5,3,continue,semantic,,,False,The answer is empty and does not provide a supported ranking from the contexts.,True,"The answer only makes claims supported by the contexts, stating the band formed in California and that the other information is not provided.",,skipped,False
