query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens
"Who lived longer, Jean-Baptiste-Denis Despré or Lucien Bonaparte Webster?",graphrag,0,1-hop,2026-08-21,True,"All dates, calculated lifespans, and the conclusion that Jean-Baptiste-Denis Despré lived longer are supported by the retrieved contexts.",1951
"Who died later, Pieter Corneliszoon Hooft or Rudi Carrell?",graphrag,0,1-hop,2026-08-21,True,All dates of death and the conclusion that Rudi Carrell died later are fully supported by the retrieved contexts.,1978
"Which film came out first, Defendor or Njanum Ente Familiyum?",graphrag,0,1-hop,2026-08-21,True,All claims regarding release dates and comparisons between the two films are directly supported by the retrieved contexts.,3188
"Which film came out first, What Women Love or Ramudu Kadu Krishnudu?",graphrag,0,1-hop,2026-08-21,True,The answer accurately uses information from the provided contexts indicating What Women Love came out in 1920 and Ramudu Kadu Krishnudu came out in 1983.,1305
Does Eddie Murray (Rugby League) have the same nationality as Henry Talbot (Photographer)?,graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the nationalities of Eddie Murray and Henry Talbot are fully supported by the provided contexts.,1804
Do Jan Christiaan Lindeman and Jermano Lo Fo Sang have the same nationality?,graphrag,0,1-hop,2026-08-21,True,Both individuals are explicitly identified as Dutch in the provided contexts.,1875
Are both directors of films Tarzan And The Slave Girl and Sweet Crude from the same country?,graphrag,0,3+-hop,2026-08-21,True,"All claims regarding the directors, their film credits, and their biographical details are fully supported by the retrieved contexts.",2180
"Who was born first, Heo Keon or Ljiljana Nanušević?",graphrag,0,1-hop,2026-08-21,False,The answer incorrectly claims that Heo Keon (born 1988) was born before Ljiljana Nanušević (born 1981).,1265
Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,graphrag,0,1-hop,2026-08-21,True,The birth dates of both individuals and the conclusion that Kazimierz Cichowski was born first are fully supported by the contexts.,2884
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",graphrag,0,2-hop,2026-08-21,True,The answer accurately states that the retrieved context identifies Mary of Enghien as Catherine's mother but does not mention her place of death.,1653
Who is Princess Caroline Napoléon's maternal grandmother?,graphrag,0,2-hop,2026-08-21,True,All claims in the answer are directly supported by contexts 2W-010-P05 and 2W-010-P00.,1714
Where was the father of Alina Fernández born?,graphrag,0,2-hop,2026-08-21,False,"The context explicitly states that Fidel Castro was born in Birán, Oriente, contradicting the answer's claim that his birthplace is not listed.",2467
"Who died later, Adam Purple or Chyskillz?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the death dates of Adam Purple and Chyskillz based on the provided contexts.,1861
"Which film whose director was born first, Lions For Lambs or Nowhere In Africa?",graphrag,0,3+-hop,2026-08-21,False,"The initial answer 'Nowhere in Africa' contradicts the retrieved facts, which show that Robert Redford (director of Lions for Lambs, born 1936) was born before Caroline Link (born 1964).",2667
"Which film came out earlier, Where Are You? I'M Here or Patnam Vachina Pativrathalu?",graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the release years of both films and the comparison are supported by the cited contexts.,1213
"Where was the place of death of Crato, Count Of Nassau-Saarbrücken's father?",graphrag,0,2-hop,2026-08-21,True,"The answer accurately states that Crato's father was William Louis, Count of Nassau-Saarbrücken, and that he died in Metz, directly supported by contexts 2W-015-P03 and 2W-015-P05.",2135
"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",graphrag,0,3+-hop,2026-08-21,True,"All factual claims regarding the films, directors, and their birth dates are fully supported by the retrieved contexts.",1608
"Do Kim Darby and John Birdsall (Politician, Born 1840) have the same nationality?",graphrag,0,1-hop,2026-08-21,True,All factual claims are accurately supported by the retrieved contexts.,1625
