query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,graphrag,azure,none,0,2409,804,142,946,MQ-000-P10;MQ-000-P07;MQ-000-P19,MQ-000-P10;MQ-000-P19;MQ-000-P00;MQ-000-P07;MQ-000-P01;MQ-000-P05;MQ-000-P09;MQ-000-P06,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,graphrag,azure,none,0,1313,1688,53,1741,MQ-001-P04;MQ-001-P09,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-082-P10;MQ-001-P11;MQ-035-P15;MQ-001-P00;MQ-001-P05;MQ-082-P15;MQ-082-P09,10,,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,graphrag,azure,none,0,2218,1752,153,1905,MQ-002-P00;MQ-002-P19,MQ-002-P19;MQ-055-P16;MQ-055-P15;MQ-002-P16;MQ-055-P19;MQ-055-P02;MQ-002-P03;MQ-002-P15;MQ-002-P00,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
Where was Mary's betrothed born?,1-hop,graphrag,azure,none,0,1496,2080,83,2163,MQ-003-P10;MQ-003-P05,MQ-003-P10;MQ-003-P11;MQ-003-P05;MQ-012-P14;MQ-003-P06;MQ-040-P09;MQ-003-P12;MQ-145-P04;MQ-003-P04;MQ-145-P15;MQ-145-P16,11,,,,,,0.0,0.0,0.0,1.0,0.1818,2,2,1,1-hop,False
The island where they filmed ninja warrior in Australia is located in what harbor?,1-hop,graphrag,azure,none,0,1208,1902,37,1939,MQ-004-P04;MQ-004-P09,MQ-004-P04;MQ-004-P09;MQ-102-P14;MQ-163-P17;MQ-011-P01;MQ-015-P09;MQ-165-P07;MQ-017-P07,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who is the mother of the founder of Mormonism?,1-hop,graphrag,azure,none,0,1607,1669,86,1755,MQ-005-P02;MQ-005-P05,MQ-005-P05;MQ-005-P01;MQ-005-P02;MQ-005-P18;MQ-005-P09;MQ-003-P05;MQ-003-P11;MQ-165-P11;MQ-003-P04,9,,,,,,0.5,0.5,0.5,1.0,0.2222,2,2,1,1-hop,False
"Who wrote ""Turn Me On"" by performer of ""Happy Pills""?",1-hop,graphrag,azure,none,0,1271,1222,76,1298,MQ-006-P15;MQ-006-P00,MQ-006-P15;MQ-006-P00;MQ-007-P06;MQ-020-P11;MQ-023-P06;MQ-007-P08;MQ-020-P19;MQ-006-P12,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
"Who wrote the song ""The Story"" that is sung by the performer of ""That Wasn't Me""?",1-hop,graphrag,azure,none,0,1576,980,87,1067,MQ-032-P17;MQ-007-P16;MQ-007-P13,MQ-007-P13;MQ-032-P17;MQ-007-P16;MQ-032-P05;MQ-023-P06;MQ-007-P01;MQ-032-P08;MQ-007-P17,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
Who did Hayek work for upon being hired by the author of Omnipotent Government?,1-hop,graphrag,azure,none,0,1236,1708,47,1755,MQ-008-P17;MQ-008-P14,MQ-008-P17;MQ-008-P09;MQ-008-P04;MQ-008-P01;MQ-008-P05;MQ-008-P07;MQ-008-P12;MQ-008-P08;MQ-008-P14,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
Who is the brother of the Nothin' My Love Can't Fix performer?,1-hop,graphrag,azure,none,0,2037,1281,129,1410,MQ-009-P03;MQ-009-P10,MQ-009-P03;MQ-094-P10;MQ-009-P18;MQ-009-P06;MQ-006-P15;MQ-009-P11;MQ-061-P02;MQ-085-P15;MQ-006-P00;MQ-009-P10,10,,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
Who introduced a system of musical notation in the 14th century that is used in the area where most of the invasion of the eastern Roman Empire took place?,1-hop,graphrag,azure,none,0,1531,1877,100,1977,MQ-010-P01;MQ-010-P15,MQ-010-P06;MQ-010-P01;MQ-010-P12;MQ-010-P17;MQ-010-P04;MQ-010-P15;MQ-010-P03;MQ-010-P00,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
What other county does the county where Imperial is located share a border with?,1-hop,graphrag,azure,none,0,1282,1917,59,1976,MQ-011-P17,MQ-011-P17;MQ-142-P04;MQ-091-P14;MQ-140-P16;MQ-049-P03;MQ-195-P02;MQ-174-P15;MQ-183-P16;MQ-140-P11;MQ-011-P12;MQ-195-P01;MQ-140-P07;MQ-195-P18,13,,,,,,1.0,0.5,0.6667,1.0,0.1538,1,2,1,1-hop,False
The author of Alciphron lived in what century?,1-hop,graphrag,azure,none,0,1077,2278,34,2312,,MQ-010-P04;MQ-012-P03;MQ-093-P00;MQ-003-P01;MQ-115-P11;MQ-182-P15;MQ-010-P01;MQ-185-P04;MQ-010-P15;MQ-182-P10;MQ-185-P18;MQ-185-P16;MQ-182-P11,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,2,1,1-hop,False
What publisher was formed from the owner of the The Daily News?,1-hop,graphrag,azure,none,0,1537,1016,91,1107,MQ-013-P02;MQ-013-P13,MQ-013-P02;MQ-013-P13;MQ-013-P18;MQ-013-P15;MQ-013-P06;MQ-013-P08;MQ-013-P19;MQ-013-P11,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
What is the date of birth for the performer of Unbreakable?,1-hop,graphrag,azure,none,0,999,1365,53,1418,MQ-014-P11;MQ-014-P15,MQ-014-P14;MQ-014-P11;MQ-014-P10;MQ-014-P15;MQ-040-P00;MQ-141-P04;MQ-141-P01;MQ-018-P19,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who was in charge of the province which contains Zeevang?,1-hop,graphrag,azure,none,0,1507,936,79,1015,MQ-015-P10;MQ-015-P04,MQ-015-P10;MQ-015-P04;MQ-084-P17;MQ-124-P12;MQ-157-P01;MQ-165-P14;MQ-127-P14;MQ-094-P02,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who played king whose regal Name did Albert Adopt in the king's speech?,1-hop,graphrag,azure,none,0,1425,1405,76,1481,MQ-016-P07;MQ-016-P05,MQ-016-P05;MQ-016-P07;MQ-016-P12;MQ-016-P00;MQ-016-P06;MQ-016-P04;MQ-028-P10;MQ-003-P16,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
What county was Tim Dubois born in?,1-hop,graphrag,azure,none,0,1749,1444,90,1534,MQ-017-P06;MQ-017-P17,MQ-017-P06;MQ-017-P16;MQ-070-P16;MQ-005-P03;MQ-033-P06;MQ-073-P09;MQ-150-P10;MQ-033-P14;MQ-017-P17,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
What was the story that included the character from The Bourne Betrayal based on?,1-hop,graphrag,azure,none,0,1942,1379,135,1514,MQ-018-P04,MQ-018-P18;MQ-018-P13;MQ-018-P15;MQ-018-P04;MQ-018-P19;MQ-018-P17;MQ-018-P03;MQ-018-P07,8,,,,,,1.0,0.5,0.6667,1.0,0.25,1,2,1,1-hop,False
Where is the province of Gonbad-e Qabus County located?,1-hop,graphrag,azure,none,0,1170,1159,64,1223,MQ-019-P14;MQ-019-P03,MQ-019-P14;MQ-019-P04;MQ-019-P08;MQ-019-P13;MQ-019-P00;MQ-019-P03;MQ-099-P10;MQ-019-P02,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
"What record label released the debut album of the artist behind the 1993 album ""Let There be Love"".",1-hop,graphrag,azure,none,0,1383,1205,81,1286,MQ-020-P15;MQ-020-P16,MQ-020-P16;MQ-020-P15;MQ-160-P05;MQ-199-P07;MQ-148-P15;MQ-024-P13;MQ-009-P14;MQ-024-P10;MQ-024-P01,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
What company is the college where Wolf V. Vishniac studied a part of?,1-hop,graphrag,azure,none,0,1142,1466,40,1506,MQ-021-P14;MQ-021-P04,MQ-021-P14;MQ-008-P01;MQ-083-P04;MQ-112-P18;MQ-021-P02;MQ-026-P09;MQ-042-P18;MQ-008-P17;MQ-008-P14;MQ-021-P04,10,,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
Where did the painter of The Mud Bath study?,1-hop,graphrag,azure,none,0,1338,1284,78,1362,MQ-022-P07;MQ-022-P10,MQ-022-P10;MQ-022-P04;MQ-022-P07;MQ-085-P02;MQ-061-P12;MQ-188-P06;MQ-012-P19;MQ-076-P00;MQ-076-P11;MQ-076-P06,10,,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
What university did the author of 1967: The Last Good Year attend?,1-hop,graphrag,azure,none,0,1075,1223,52,1275,MQ-023-P00;MQ-023-P02,MQ-023-P00;MQ-054-P05;MQ-026-P09;MQ-013-P07;MQ-026-P16;MQ-047-P12;MQ-026-P13;MQ-008-P09;MQ-023-P02,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
What is the parent company of the record label releasing Cold Turkey?,1-hop,graphrag,azure,none,0,1797,1227,121,1348,MQ-024-P01;MQ-024-P13,MQ-024-P01;MQ-199-P07;MQ-148-P15;MQ-160-P05;MQ-024-P13;MQ-024-P10;MQ-083-P12;MQ-148-P06;MQ-148-P17;MQ-148-P08,10,,,,,,1.0,1.0,1.0,1.0,0.2,2,2,1,1-hop,False
What month did the person who retained trust in Longchamp go away to the Holy Land?,1-hop,graphrag,azure,none,0,1506,1407,89,1496,MQ-025-P18;MQ-025-P04,MQ-025-P18;MQ-025-P09;MQ-025-P06;MQ-146-P10;MQ-188-P05;MQ-175-P04;MQ-145-P07;MQ-025-P04,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
What is the mascot of William J. Ripple's university?,1-hop,graphrag,azure,none,0,925,1852,39,1891,MQ-026-P02;MQ-026-P05,MQ-026-P02;MQ-026-P18;MQ-026-P05;MQ-155-P17;MQ-023-P12;MQ-062-P18;MQ-047-P12;MQ-026-P03;MQ-155-P04;MQ-062-P16;MQ-155-P18;MQ-155-P16,12,,,,,,1.0,1.0,1.0,1.0,0.1667,2,2,1,1-hop,False
What year did the author of The First Blast of the Trumpet Against the Monstruous Regiment of Women die?,1-hop,graphrag,azure,none,0,1086,1443,60,1503,MQ-027-P19;MQ-027-P07,MQ-027-P19;MQ-027-P18;MQ-022-P02;MQ-037-P18;MQ-041-P07;MQ-014-P08;MQ-145-P06;MQ-188-P00;MQ-027-P07,9,,,,,,1.0,1.0,1.0,1.0,0.2222,2,2,1,1-hop,False
Who is the king that translated the Bible and was on the throne when MacBeth was written?,1-hop,graphrag,azure,none,0,1703,1551,118,1669,MQ-028-P06;MQ-028-P03;MQ-066-P14,MQ-028-P10;MQ-028-P06;MQ-028-P00;MQ-028-P03;MQ-028-P04;MQ-028-P02;MQ-028-P16;MQ-066-P14,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
"What shares a border with the administrative territorial entity Radwanice, Polkowice County is located in?",1-hop,graphrag,azure,none,0,1876,1009,127,1136,MQ-029-P11;MQ-029-P12,MQ-029-P11;MQ-029-P12;MQ-175-P07;MQ-145-P12;MQ-188-P01;MQ-175-P15;MQ-029-P17;MQ-011-P11,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
