query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,agentic,1,2-hop,True,True,"All claims about reporting rates, message content, consolidation, and interface timing are explicitly supported or directly inferable from the retrieved requirements."
What upstream navigation timing service requirement justifies the payload computer’s UTC sensor timestamping accuracy and source-selection behavior?,agentic-graph,2,1-hop,True,True,All claims in the answer are directly supported by NAV-027 and NAV-022 from the retrieved contexts.
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,vanilla,0,3+-hop,False,True,All claims in the answer are directly supported by the retrieved contexts and nothing extraneous is introduced.
"Which GPS requirement traces through the security and emergency-management requirements to ultimately satisfy the navigation requirement, and what end-to-end rationale links them?",agentic-graph,1,3+-hop,True,True,"Every claim about requirement traceability, rationale, and the specific links between GPS-022, SEC-028, EMS-021, and NAV-028 is supported by the retrieved contexts, with accurate references to content"
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",graphrag,2,3+-hop,True,True,"All references to SEC-015 and its downstream satisfaction by APM-029, BIT-020, BIT-031, and FCC-044 are directly supported by the retrieved contexts."
Which GPS requirement is ultimately fulfilled via the security control referenced by the navigation requirement traced from the original GPS requirement?,vanilla,0,3+-hop,True,True,"All claims about the tracing of GPS-022 from the GPS, NAV, and SEC requirements and their references are directly supported by the provided contexts."
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",graphrag,1,1-hop,True,False,The claim about the applicable time-to-alert being defined in GPS-032 and referencing it is unsupported as GPS-032 is not in the contexts; all other claims are supported.
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,0,2-hop,True,True,"All claims about Skyrunner-T1 not hosting an FMS, using Navigation Integration instead, and its DAL-B navigation DAL are directly supported by the retrieved contexts."
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",agentic-graph,0,2-hop,False,True,All claims in the answer are strictly based on retrieved requirements without introducing unsupported details.
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,0,1-hop,True,True,"All claims are supported: EMS-032 requires 5 Hz ingestion from PWR via the primary avionics bus, and PWR-015/PWR-026 confirm PWR broadcasts at 10 Hz."
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,1,3+-hop,False,True,All claims in the answer are directly supported or reasoned from the retrieved contexts without adding unsupported details.
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",agentic,0,2-hop,True,True,"All claims about INS degradation triggers, switch timeframe, backup source, and FCC requirements are directly supported by FCC-017, NAV-015, and FCC-016."
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,2,2-hop,False,True,"All claims in the answer are directly supported by the retrieved requirements, including the indirect linkage, distinct verification methods, and separation of test objectives."
Which load-shed table entry defines the priority-2 load failure condition that forces the EMS into CAUTION within 500 ms?,graphrag,1,1-hop,True,True,Every factual claim is supported by EMS-005 and the PWR-032 table in the retrieved contexts.
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,adaptive,1,3+-hop,False,False,"The answer introduces [SEC-010] and traces it, but [SEC-010] is not present in the retrieved contexts and its content is not supported; also, the trace order involves some interpretive linking not str"
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,agentic,2,3+-hop,False,True,"All claims are directly supported by the retrieved contexts, and limitations of the trace are correctly noted."
How does the ground-vibration test’s identified modal model determine the notch-filter frequencies and widths applied to inertial measurements before inner-loop control?,agentic-graph,1,2-hop,True,True,"All claims in the answer are directly supported by the retrieved contexts, including the GVT producing the modal model, feeding the notch filter coefficients, filter application on inertial measuremen"
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,agentic-graph,2,1-hop,False,True,All claims in the answer accurately reflect the absence of fuel-status requirements for the FCC in the retrieved contexts.
Which data link requirement is ultimately implicated by the flight control requirement that references a security control via an intermediate control requirement?,vanilla,1,3+-hop,False,False,The answer references requirements and a trace chain not fully present or supported in the retrieved contexts.
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,1,1-hop,True,True,"All claims about EMS ingesting PWR data at ≥5 Hz on the primary avionics bus are directly supported by [EMS-032], [PWR-015], and [PWR-026]."
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,agentic-graph,1,2-hop,True,True,All claims regarding requirements and test coverage are substantiated by the retrieved contexts.
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",agentic-graph,0,3+-hop,True,True,"All claims in the answer are directly supported by FCC-029, and it properly notes the absence of HMI-015 details in the contexts."
"Which flight-control requirement, traced from the built-in test function through the environmental monitoring requirement it satisfies, ultimately references the final EMS requirement?",agentic-graph,2,3+-hop,False,True,"Every factual claim is supported by the retrieved contexts, and unsupported trace limitations are explicitly acknowledged."
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic,0,2-hop,False,True,The answer only discusses what is and is not present in the retrieved contexts and does not introduce unsupported claims.
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,vanilla,0,2-hop,True,True,All factual claims are supported by references to the relevant requirements and test descriptions in the retrieved contexts.
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic-graph,1,2-hop,False,True,"Every claim in the answer is directly supported by the retrieved contexts, with explicit references noted for FCC-011 and ICE-019, and clear statements about lacking requirements for crypto module, ke"
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic-graph,2,1-hop,False,True,"[SEC-019] is the only command-authentication fault-injection verification citing DO-356A (the security assurance activities reference set), and all details are drawn from the retrieved contexts."
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,0,1-hop,True,True,"All command ID ranges, targets, and purposes are directly supported by the routing table in PLD-033, and referencing the dispatch and rejection behavior is supported by PLD-009."
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",adaptive,1,3+-hop,True,True,"[CDL-013], [SEC-008], and [FCC-031] connections, as well as satisfactions and flow, are all directly supported in the retrieved contexts."
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,2,3+-hop,False,True,"All claims in the answer are supported by the retrieved contexts, which detail the requirements for power, security, and structural redundancy, but do not provide the specific BIT requirement ID or fu"
Which GNSS dilution-of-precision outputs feed the navigation fusion QoS score computation for operator display?,vanilla,2,1-hop,False,True,The answer accurately states that only 'GPS DOP' is mentioned and that specific DOP outputs are not identified in the retrieved contexts.
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",adaptive,1,2-hop,True,True,All assertions about BATT_ONLY declaration and RTB to AUTO on APU self-shutdown during start are explicitly supported by EPS-011 and APM-023; mode transition testing for this scenario is supported by 
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",agentic-graph,1,3+-hop,False,True,All claims in the answer are directly supported and accurately traced through the retrieved requirement contexts with correct references and no unsupported details.
Which flight control computer requirement is ultimately implicated by the flight data recorder verification path through navigation and GPS references?,adaptive,1,3+-hop,False,False,[ENG-037] is a flight control computer (FCC) requirement but the retrieved contexts do not support that it is implicated by the FDR verification path through NAV and GPS; there is no explicit or infer
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic,1,1-hop,False,True,All claims in the answer are directly supported by the absence of relevant information in the retrieved contexts.
"Which radar altimeter mode requirement supports terrain-avoidance advisory coupling, and which autopilot requirement governs autonomous DAA resolution engagement?",adaptive,2,1-hop,True,False,The claim about AUTO-006 supporting DAA RESOLUTION as an autonomous mode is mostly accurate but the explicit three-paragraph interaction explanation is partially ungrounded; details about specific int
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",agentic-graph,0,2-hop,False,True,Every claim is either directly quoted or reasoned from the retrieved requirements without adding unsupported details.
