query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",vanilla,0,1-hop,2026-08-20,True,"All claims regarding APU parameter exceedance shutdown, event logging, and the FDR recording rates of 1 Hz nominal and 10 Hz for 60 s before and after fault transitions are fully supported by APM-023 ",1498
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,2026-08-20,True,"The answer accurately states that the retrieved contexts do not contain flight data recording rates or fault-window capture requirements, and all referenced context statements are fully supported.",1710
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag,0,1-hop,2026-08-20,True,"All recording rates, fault-window durations, and monitoring parameters are fully supported by FDR-030, APM-023, APM-030, and APM-036.",3298
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic-graph,0,1-hop,2026-08-20,True,"The answer accurately states that the retrieved context does not contain FDR rates or fault-window capture requirements for APU exceedance shutdown, while correctly summarizing related retrieved requi",2079
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",adaptive,0,1-hop,2026-08-20,True,"The answer accurately reports that the retrieved contexts lack flight data recording and fault-window capture specifications, while correctly summarizing the relevant EPS requirements provided.",1742
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",vanilla,0,1-hop,2026-08-20,True,All claims are accurately derived from the retrieved context without introducing unsupported facts or ungrounded requirement references.,1870
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved contexts do not contain information regarding FMS navigation database checks and correctly summarizes the provided requirement contents.,1080
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,2026-08-20,True,All claims and requirement citations regarding navigation database validation in INIT mode are fully supported by the retrieved contexts.,3545
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context does not contain the requested FMS requirements and correctly references the provided context.,1235
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",adaptive,0,1-hop,2026-08-20,True,All statements and requirement citations in the answer are directly supported by the retrieved contexts.,1915
