query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
What does ADS-014 specify about pitot blockage detection?,id_lookup,vanilla,local,none,7682,663,188,851,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027,ADS-014;ADS-026;HMI-090;ADS-023;ADS-027,5,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,vanilla,local,azure,7033,532,152,684,ADS-026;ADS-014;HMI-090;ADS-005;ADS-019,ADS-026;ADS-014;HMI-090;ADS-005;ADS-019,5,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,agentic,local,none,2268,229,129,358,ADS-014;HMI-090,ADS-014,1,0,sufficient,id_lookup
What does ADS-014 specify about pitot blockage detection?,id_lookup,vanilla,azure,none,3463,499,156,655,ADS-026;ADS-014;STR-022;STR-006;HMI-090,ADS-026;ADS-014;STR-022;STR-006;HMI-090,5,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,vanilla,azure,azure,39232,532,150,682,ADS-026;ADS-014;HMI-090;ADS-005;ADS-019,ADS-026;ADS-014;HMI-090;ADS-005;ADS-019,5,0,,
What does ADS-014 specify about pitot blockage detection?,id_lookup,agentic,azure,none,2172,229,112,341,ADS-014;HMI-090,ADS-014,1,0,sufficient,id_lookup
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,vanilla,local,none,7376,743,240,983,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016,FCC-022;FCC-001;ADS-C5;FCC-038;ENG-016,5,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,vanilla,local,azure,36596,798,209,1007,ADS-C5;FCC-022;FCC-001;ADS-001;FCC-038,ADS-C5;FCC-022;FCC-001;ADS-001;FCC-038,5,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,agentic,local,none,21181,4846,576,5422,ADS-022;ADS-002;FCC-020;ADS-012;FCC-022,ADS-C5;ADS-001;ADS-002;ADS-022;ADS-006;FCC-022;FCC-037;FCC-038;FCC-020;FCC-001,10,3,continue,semantic
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,vanilla,azure,none,4848,548,217,765,ADS-002;FCC-022;AUTO-026;RADAR-017;AUTO-027,ADS-002;FCC-022;AUTO-026;RADAR-017;AUTO-027,5,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,vanilla,azure,azure,35095,576,173,749,ADS-002;ADS-C5;FCC-022;ADS-001;ADS-010,ADS-002;ADS-C5;FCC-022;ADS-001;ADS-010,5,0,,
How does the air data system provide angle-of-attack to the flight control computer?,cross_module,agentic,azure,none,14670,3906,630,4536,ADS-002;ADS-005;ADS-020;ADS-021;FCC-020;ADS-012;FCC-022,ADS-002;ADS-C5;ADS-001;ADS-010;ADS-005;FCC-022;ALX2-FCC-004;FCC-020;FCC-024;ALX2-FCC-003;ADS-021;ADS-004;ADS-020;FCC-017;FCC-001;FCC-041;FCC-016,17,0,sufficient,semantic
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,vanilla,local,none,6576,709,64,773,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013,5,0,,
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,vanilla,local,azure,37345,528,92,620,ADS-005;ADS-002;STR-006;STR-022;ADS-013,ADS-005;ADS-002;STR-006;STR-022;ADS-013,5,0,,
