query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,bge,none,0,11411,686,255,941,FDR-030;APM-023;APM-036,APM-023;FDR-030;APM-036;APM-007;ENG-036,5,0,,,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic,bge,none,0,27065,4522,680,5202,EPS-002;EPS-011;EPS-020;ICE-017;ICE-016,EPS-002;EPS-020;EPS-009;EPS-023;EPS-011;ICE-017;ICE-009;ICE-015;ICE-016;ICE-008,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,5,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,bge,none,0,9164,1503,264,1767,APM-023;APM-036;FDR-030;EPS-011,APM-023;FDR-030;APM-036;APM-007;ENG-036;ENG-009;EPS-002;APM-008;APM-001;APM-030;BIT-025;ENG-043;EPS-011;PWR-001;AUTO-022,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic-graph,bge,none,0,27338,6959,716,7675,APM-023;EPS-011;EPS-020;FCC-012,EPS-002;EPS-020;EPS-009;EPS-023;EPS-011;ICE-017;ICE-009;ICE-016;ICE-015;ICE-012;FCC-012;FCC-047;FCC-037;FCC-024;SKT1-FCC-002,15,3,continue,semantic,,,0.25,0.5,0.3333,0.0,0.0,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,adaptive,bge,none,0,31712,6994,907,7901,APM-023;EPS-011;EPS-020;FCC-012,EPS-002;EPS-020;EPS-009;EPS-023;EPS-011;ADS-008;ADS-002;NBC3-ADS-001;ADS-024;ADS-014;FCC-037;FCC-012;FCC-038;SKT1-FCC-002;FCC-049,15,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.25,0.5,0.3333,0.0,0.0,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,vanilla,bge,none,0,10018,595,217,812,FMS-006;SEC-020,FMS-006;FMS-005;NAV-005;SEC-015;FMS-007,5,0,,,,,1.0,1.0,1.0,0.5,0.2,2,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic,bge,none,0,19029,3650,370,4020,NAV-005,NAV-005;NAV-007;NAV-006;NAV-008;NAV-035,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,1,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag,bge,none,0,8290,1462,235,1697,FMS-006;SEC-020,FMS-006;FMS-005;NAV-005;SEC-015;FMS-007;FMS-033;HMI-030;HMI-037;APM-029;AUTO-002;AUTO-017;BIT-020;BIT-031;FCC-044;FDR-055,15,0,,,,,1.0,1.0,1.0,0.5,0.0667,2,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic-graph,bge,none,0,22862,6723,559,7282,SEC-020;FMS-006;FMS-042,FMS-006;NAV-005;INS-013;INS-005;INS-011;FMS-004;FMS-042;FMS-028;FMS-HDR-6;NAV-HDR-6;NAV-001;NAV-034;NAV-007,13,3,continue,semantic,,,0.6667,1.0,0.8,0.5,0.0769,3,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,adaptive,bge,none,0,8470,595,193,788,FMS-006;SEC-020,FMS-006;FMS-005;NAV-005;SEC-015;FMS-007,5,0,,,vanilla,R5: numeric_hint + single_module (FMS) → top-K,1.0,1.0,1.0,0.5,0.2,2,2,1,1-hop,True
