query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,answer,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
What landing-gear weight-on-wheels discretes support the taxi-light ground-only inhibit and maintenance override behavior?,1-hop,graphrag,azure,none,1,2092,1197,189,1386,,LGT-007;LDG-020;LDG-002;STR-035;LGT-006;STR-016;NBC3-LDG-001;FCC-048;FCC-044;LDG-011;LDG-015;BIT-031;FCC-008;FDR-055;FMS-035,15,0,,,,,"The taxi-light ground-only inhibit and maintenance override behavior relies on the weight-on-wheels (WoW) discretes published by the LDG subsystem for each strut (nose landing gear, main landing gear-left, main landing gear-right). These WoW discretes use dual-redundant sensors per strut on DAL-A platforms, employing 2-out-of-3 voting where feasible [LDG-015]. The lighting subsystem uses WoW asserted (i.e., airplane on ground) to make taxi lights operational only on the ground, while allowing operator override for maintenance [LGT-007]. Thus, the LDG WoW discretes are the specific signals supporting this behavior, as outlined above.

References:  
- [LDG-015]: Dual-redundant WoW discretes per strut, published by LDG subsystem  
- [LGT-007]: Taxi lights operational only on ground, with operator override",True,"All claims are supported by LGT-007 and LDG-015, with only light paraphrase and no extra unsupported specifics.",True,All factual claims are directly supported by [LDG-015] and [LGT-007].,,skipped,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,azure,none,1,3416,1561,211,1772,,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,15,0,,,,,"When the power module (APM) detects an APU parameter exceedance (per the APU_Limits table, [APM-036]) and commands APU shutdown, the following FDR recording behavior is required:

- The FDR must record APM battery and APU data at a **nominal rate of 1 Hz** [FDR-030].
- For the period **60 s before and after any APM fault transition**, the FDR must increase the recording rate to **10 Hz** [FDR-030].
- The APM must log the shutdown event to the FDR as specified [APM-023].

**Summary:**  
On APU exceedance and shutdown command, the FDR records related data at 10 Hz for 60 s before and after the fault, otherwise at 1 Hz. This ensures high-resolution capture of the fault event window [FDR-030], as triggered by the APM’s exceedance detection and event logging [APM-023, APM-036].",False,"It adds that the 10 Hz fault window is triggered by an APU exceedance/shutdown event, but the context only specifies 10 Hz around any APM fault transition, not that this shutdown is such a transition.",True,"All claims about recording rates, fault window duration, and event logging are directly supported by FDR-030, APM-023, and APM-036 in the retrieved contexts.",,skipped,False
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,graphrag,azure,none,1,3342,1567,223,1790,,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;BIT-024;EMS-001;EMS-006;EMS-010;EMS-020;EMS-033;EPS-001,15,0,,,,,"The FCC’s runaway actuator fault response directly satisfies the emergency-management requirement for coordinated emergency mode entry as follows:

- **FCC-023** specifies: The FCC detects actuator runaway (commanded-versus-measured surface error > 10% of full deflection for > 200 ms), disengages the offending actuator channel within 50 ms, and commands remaining channels to null disturbance torque. This requirement satisfies EMS-006 [FCC-023].
- **EMS-006** then requires: The EMS shall transition to EMERGENCY on any of the conditions listed in FCC-009 and coordinate with the FCC EMERGENCY mode entry per FCC-010 [EMS-006].

Therefore, the FCC’s detection/disengagement action (FCC-023) fulfills EMS’s need for detection and coordinated transition to EMERGENCY mode (EMS-006). This ensures both subsystems act in concert: The FCC isolates the fault and commands safe controls, while EMS coordinates broader emergency response and mode handling. This is required for compliant, coordinated emergency-mode entry per both FCC and EMS requirements [FCC-023][EMS-006].",False,"The answer incorrectly claims FCC-023 fulfills coordinated EMERGENCY mode entry under EMS-006, but EMS-006 is tied to FCC-009/FCC-010 conditions and contexts do not show runaway actuator causes EMERGE",True,"All factual claims are supported by FCC-023 and EMS-006, which connect actuator runaway detection/disengagement with EMS transition and coordination per requirements.",,skipped,False
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,2-hop,vanilla,azure,none,1,3497,550,253,803,,NAV-035;NAV-007;INS-013;NAV-015;INS-051,5,0,,,,,"The HIL GPS-outage test (NAV-035) verifies the fusion function's compliance with the >60 s reversion and annunciation behavior by:

- Simulating GPS unavailability at random phases and maintaining the outage for defined durations (30, 60, 120, and 300 s).
- Specifically, for outages lasting longer than 60 s, NAV-035 confirms the NAV Fusion function transitions from HYBRID to INS_ONLY within 200 ms after reaching the 60 s threshold, which is the technical requirement in NAV-007.
- NAV-007, in turn, refines and ensures alignment with the underlying inertial degraded mode requirement (INS-013), which requires that on loss of GPS aiding for more than 60 s, the INS transitions to DEGRADED mode, continues providing inertial-only navigation, and annunciates NAV_DEGRADED to the operator per ##HMI.HMI-075.

Thus, by demonstrating the required mode transition and annunciation timing during controlled HIL test conditions, NAV-035 directly substantiates the fulfillment of NAV-007 and—by refinement—INS-013 requirements regarding degraded operation and annunciation after GPS loss [NAV-035], [NAV-007], [INS-013].",False,"The answer adds unsupported claims about NAV-035 verifying annunciation timing and directly substantiating INS-013, which the contexts do not state.",False,"The answer claims that NAV-035 verifies annunciation timing, but the retrieved context only specifies verification of mode transition, not annunciation; details about the link to INS-013 are also more",,skipped,True
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",1-hop,graphrag,azure,none,1,4517,993,311,1304,,FDR-024;NAV-024;NAV-036;INS-039;INS-019;NAV-011;NAV-016;FDR-018;FDR-020;INS-015;BIT-010;INS-031,12,0,,,,,"EKF divergence detection, reset, and FDR cross-reference are governed as follows:

1. **Detection:**  
The NAV Fusion function detects EKF divergence when the normalised innovation sum-of-squares exceeds 9 sigma over 10 s. Detection must occur within 1 s of this condition's onset [NAV-024]. Detection is verified via fault-injection (50 sigma pseudo-measurements for 5 s) in the V&V process [NAV-036].

2. **Reset:**  
Upon divergence detection, the NAV Fusion function resets the filter using current best estimates [NAV-024].

3. **FDR cross-reference:**  
Immediately upon divergence, the event is logged. The FDR records the EKF divergence event and captures a filter state snapshot both at the moment of divergence and after filter reset [FDR-024]. This provides traceability for post-flight analysis between the incidence of divergence (with associated state) and the subsequent reset state.

**Requirement links:**  
- NAV-024 specifies EKF divergence handling and directs logging to the FDR [NAV-024 ↔ FDR-024].  
- FDR-024 formally requires the FDR to record NAV EKF divergence events per NAV-024, with both the filter state at divergence and after reset [FDR-024].

**Summary:**  
Divergence is detected by NAV, reset immediately (within 1 s), and the FDR records state snapshots before and after reset for traceability per NAV-024 and FDR-024.",False,"The answer adds unsupported timing/wording such as 'immediately upon divergence' and 'reset immediately (within 1 s)', which the contexts do not state.",True,"All claims about detection, reset, event logging, and requirement cross-referencing are supported in contexts NAV-024, FDR-024, and NAV-036.",,skipped,False
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,vanilla,azure,none,1,5469,551,439,990,,HMI-009;HMI-004;HMI-037;HMI-001;SEC-035,5,0,,,,,"Based on the retrieved requirements:

- The HMI requirement [HMI-004] specifies that the operator HMI must present a Primary Flight Display (PFD) to the PIC console, showing critical flight parameters (attitude, airspeed, altitude, vertical speed, heading/track, mode annunciation, key health indicators) and that these values must be updated at a frequency of at least 10 Hz. The reference “FAA AC 25-11B” establishes that this PFD behavior must conform to cockpit display certification standards, adapted for unmanned applications.
- [HMI-001] reinforces that the requirements are tailored for operator consoles (GCS) and reference regulatory standards for cockpit display certification.

**Validation and Traceability:**
- The display behavior validated by the HMI verification is: *timely, complete, and continuously updated presentation of primary flight-control data (attitude, airspeed, etc.) at ≥ 10 Hz* on the PFD [HMI-004].
- The primary linkage to ""flight-control computer display behavior"" stems from this PFD requirement, since it is the interface to operator-facing outputs from the flight-control computer (FCC).
- The ""linked display logic reference"" here is FAA AC 25-11B, cited as a guiding standard in [HMI-004] and [HMI-001].

**Upstream Cockpit Interface Requirement:**
- This HMI PFD requirement traces back externally to cockpit interface mandates found in FAA AC 25-11B, as stated in both [HMI-004] and [HMI-001].
- [HMI-001] also cites compliance with SAE ARP5600 for human-factors and usability.

**Summary:**  
The flight-control computer display behavior validated is: *real-time presentation of flight parameters on the PFD at ≥ 10 Hz, per cockpit display logic adapted from FAA AC 25-11B* [HMI-004]. This traces upstream to the cockpit interface requirements in FAA AC 25-11B and is reflected in the system-level requirement to implement a compliant PFD for GCS operators [HMI-001].",False,"The answer adds unsupported claims about HMI verification, flight-control computer linkage, and traceability to an upstream cockpit interface requirement beyond the retrieved requirements.",False,"The answer introduces 'timely, complete, and continuously updated' claims and 'real-time presentation', which are not verbatim in the contexts, and infers validation/traceability steps not explicitly ",,skipped,True
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",1-hop,graphrag,azure,none,1,1786,1634,159,1793,,INS-020;INS-019;FCC-016;INS-039;FDR-020;INS-042;FDR-018;INS-012;AUTO-032;FCC-017;FDR-016;INS-015;INS-053;NAV-010;NAV-011,15,0,,,,,"The INS publishes the following state elements that support the FDR’s mandatory attitude, position, and velocity capture:

- Attitude (quaternion)
- Position (lat/lon/alt WGS-84)
- Velocity (NED)

These are published in the INS_STATE_MSG at 200 Hz with validity flags per [INS-020]. The FDR_Mandatory_Params table explicitly requires attitude (pitch, roll, yaw), position (lat, lon, alt), and velocity (NED) as mandatory recorded parameters, referencing INS-020 as the source for attitude [FDR-016]. 

Therefore, the INS publication of attitude, position, and velocity elements in the INS_STATE_MSG directly supports the FDR’s mandate [INS-020], [FDR-016].",False,"FDR-016 does not cite INS-020 for position or velocity, so claiming INS_STATE_MSG directly supports all three mandatory captures adds unsupported sourcing.",True,"All claims regarding the INS-published state elements and their support for FDR mandatory parameters (attitude, position, velocity) are substantiated by INS-020 and FDR-016 contexts.",,skipped,False
"Under what aircraft conditions may the FCC maintenance Ethernet port be used, and what multifactor operator authentication must be completed before any maintenance commands are accepted?",2-hop,graphrag,azure,none,1,2657,1214,188,1402,,FCC-044;SEC-015;FDR-055;FCC-011;SEC-003_1;EMS-030;FMS-035;LDG-020;APM-029;BIT-020;BIT-031;GCS-008;GPS-029;INS-045;PWR-027,15,0,,,,,"The FCC maintenance Ethernet port may be used only when all the following aircraft conditions are met:

- Weight-on-Wheels (WoW) is asserted on both main gear, **and**
- The groundcrew-inhibit discrete is released (by maintenance pin or cockpit switch while on-ground) per [FCC-044], [LDG-020].

All maintenance traffic over this port requires operator authentication. Specifically:

- Operator authentication must utilize multi-factor methods (e.g., badge + PIN, or smartcard + password) as defined in [GCS-008], and this authentication is required for all maintenance-mode operations, software updates, and configuration changes [SEC-015], [FCC-044].

**Summary:**  
FCC maintenance Ethernet is permitted only when on ground (WoW asserted, inhibit released). Before any maintenance commands are accepted, the operator must complete multi-factor authentication per [SEC-015], referencing [GCS-008].",False,"It incorrectly says the port requires the groundcrew-inhibit to be released, while the contexts say it is active/unlocked when groundcrew-inhibit is asserted.",True,"All claims about port conditions and multi-factor authentication are directly supported by FCC-044, LDG-020, SEC-015, and GCS-008.",,skipped,False
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,1-hop,graphrag,azure,none,1,2714,1562,173,1735,,FDR-004;GCS-020;PLD-019;NAV-027;FDR-022;GPS-010;INS-037;INS-039;DLNK-007;FCC-029;FCC-034;FDR-016;FDR-020;FDR-070;GPS-028,15,0,,,,,"The flight data recorder (FDR) must use the time synchronization service exposed by the NAV Fusion function (##NAV.NAV-027), which provides time-synchronization at 1 Hz with ≤ 10 µs accuracy, derived from GPS time when valid and from the on-board OCXO otherwise. The FDR's timestamps must thus ultimately reference this service to ensure UTC alignment for all mandatory parameters recorded at native rates [FDR-004], as mandated in the FDR_Mandatory_Params table [FDR-016]. This is supported by explicit reference to NAV-027 in FDR-004, and further by requirements on consumer systems that propagate timing from NAV-027 (e.g., FCC, INS, PMC) for consistent UTC timestamping throughout the avionics architecture [FCC-034],[INS-037],[PLD-019].",False,The answer adds unsupported claims about FCC and INS propagating NAV-027 timing and cites FDR-016/FCC-034/INS-037 beyond what the contexts directly support.,False,"The claim about propagation of NAV-027 timing to FCC, INS, PMC for consistent UTC timestamping is not explicitly supported in retrieved contexts.",,skipped,True
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,1-hop,vanilla,azure,none,1,3416,536,190,726,,FMS-020;NBC3-FCC-004;NBC3-NAV-001;NBC3-AUTO-001;RADAR-017,5,0,,,,,"The flight control computer’s (FCC) continuous conformance monitoring and deviation alerting for civil operations is underpinned by the FMS’s capability for 4D trajectory definition with required-time-of-arrival (RTA) waypoints. Specifically, the FMS must support 4D trajectory (latitude, longitude, altitude, time) and maintain RTA accuracy within ±10 s under nominal wind conditions (± 30 kt) [FMS-020]. The FCC continuously monitors flight conformance against this filed 4D trajectory and triggers deviation alerts at ±200 ft vertical or ±0.5 nmi lateral, referencing the 4D trajectory established by the FMS [NBC3-FCC-004]. 

Thus, the FMS 4D trajectory and RTA accuracy (per [FMS-020]) are the technical foundation for the FCC’s conformance monitoring and alerting logic ([NBC3-FCC-004]).",True,"All claims are supported by FMS-020 and NBC3-FCC-004, with no added unsupported details.",True,"All claims about FCC conformance monitoring, deviation alerting, and reliance on FMS 4D trajectory and RTA capability are supported by the retrieved contexts.",,skipped,True
