query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,graphrag,azure,none,0,2474,1455,143,1598,MQ-000-P10;MQ-000-P07,MQ-000-P10;MQ-000-P19;MQ-000-P00;MQ-000-P07;MQ-000-P01;MQ-000-P05;MQ-000-P09;MQ-000-P06;MQ-000-P02;MQ-000-P04;MQ-000-P08;MQ-000-P11;MQ-000-P18;MQ-000-P03;MQ-000-P12,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,graphrag,azure,none,0,1201,1932,57,1989,MQ-001-P04;MQ-001-P09,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-082-P10;MQ-001-P11;MQ-035-P15;MQ-001-P00;MQ-001-P05;MQ-001-P01;MQ-001-P03;MQ-001-P06;MQ-001-P10;MQ-001-P12;MQ-035-P04;MQ-035-P06,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,graphrag,azure,none,0,1377,2836,76,2912,MQ-002-P00;MQ-002-P19,MQ-002-P19;MQ-055-P16;MQ-055-P15;MQ-002-P16;MQ-055-P19;MQ-055-P02;MQ-002-P03;MQ-002-P15;MQ-002-P00;MQ-002-P02;MQ-002-P04;MQ-002-P14;MQ-002-P17;MQ-055-P14;MQ-055-P17,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Where was Mary's betrothed born?,1-hop,graphrag,azure,none,0,1397,2563,53,2616,MQ-003-P10,MQ-003-P10;MQ-003-P11;MQ-003-P05;MQ-012-P14;MQ-003-P06;MQ-040-P09;MQ-003-P12;MQ-145-P04;MQ-003-P03;MQ-003-P04;MQ-003-P07;MQ-003-P09;MQ-003-P13;MQ-012-P13;MQ-012-P16,15,0,,,,,0.0,0.0,0.0,1.0,0.1333,1,2,1,1-hop,False
The island where they filmed ninja warrior in Australia is located in what harbor?,1-hop,graphrag,azure,none,0,1048,2839,41,2880,MQ-004-P04;MQ-004-P09,MQ-004-P04;MQ-004-P09;MQ-102-P14;MQ-163-P17;MQ-011-P01;MQ-015-P09;MQ-165-P07;MQ-017-P07;MQ-011-P00;MQ-011-P02;MQ-015-P08;MQ-015-P11;MQ-017-P05;MQ-017-P08;MQ-102-P13,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
Who is the mother of the founder of Mormonism?,1-hop,graphrag,azure,none,0,1307,2367,69,2436,MQ-005-P02;MQ-005-P18;MQ-005-P05,MQ-005-P05;MQ-005-P01;MQ-005-P02;MQ-005-P18;MQ-005-P09;MQ-003-P05;MQ-003-P11;MQ-165-P11;MQ-003-P03;MQ-003-P04;MQ-003-P06;MQ-005-P00;MQ-005-P03;MQ-005-P08;MQ-005-P10,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
"Who wrote ""Turn Me On"" by performer of ""Happy Pills""?",1-hop,graphrag,azure,none,0,1467,2260,74,2334,MQ-006-P15;MQ-006-P00,MQ-006-P15;MQ-006-P00;MQ-007-P06;MQ-020-P11;MQ-023-P06;MQ-007-P08;MQ-020-P19;MQ-006-P12;MQ-006-P11;MQ-006-P13;MQ-007-P05;MQ-007-P07;MQ-007-P09;MQ-020-P10;MQ-020-P12,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
"Who wrote the song ""The Story"" that is sung by the performer of ""That Wasn't Me""?",1-hop,graphrag,azure,none,0,2356,2065,81,2146,MQ-032-P17;MQ-007-P16;MQ-007-P13,MQ-007-P13;MQ-032-P17;MQ-007-P16;MQ-032-P05;MQ-023-P06;MQ-007-P01;MQ-032-P08;MQ-007-P17;MQ-007-P00;MQ-007-P02;MQ-007-P15;MQ-007-P18;MQ-023-P05;MQ-023-P07;MQ-032-P07,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
Who did Hayek work for upon being hired by the author of Omnipotent Government?,1-hop,graphrag,azure,none,0,1059,2434,55,2489,MQ-008-P17,MQ-008-P17;MQ-008-P09;MQ-008-P04;MQ-008-P01;MQ-008-P05;MQ-008-P07;MQ-008-P12;MQ-008-P08;MQ-008-P00;MQ-008-P02;MQ-008-P03;MQ-008-P06;MQ-008-P10;MQ-008-P11;MQ-008-P13,15,0,,,,,1.0,0.5,0.6667,0.5,0.0667,1,2,1,1-hop,False
Who is the brother of the Nothin' My Love Can't Fix performer?,1-hop,graphrag,azure,none,0,1464,1797,76,1873,MQ-009-P03;MQ-009-P10,MQ-009-P03;MQ-094-P10;MQ-009-P18;MQ-009-P06;MQ-006-P15;MQ-009-P11;MQ-061-P02;MQ-085-P15;MQ-006-P00;MQ-009-P05;MQ-009-P07;MQ-009-P09;MQ-009-P10;MQ-009-P12;MQ-009-P17,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
