query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
Who is the chief judge of Fred Aghogho Brume's birthplace?,1-hop,graphrag,azure,none,0,2455,804,146,950,MQ-000-P10;MQ-000-P07;MQ-000-P19,MQ-000-P10;MQ-000-P19;MQ-000-P00;MQ-000-P07;MQ-000-P01;MQ-000-P05;MQ-000-P09;MQ-000-P06,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
Who constituted the freikorps in the country that the German Socialist Party was part of?,1-hop,graphrag,azure,none,0,1259,1222,60,1282,MQ-001-P09;MQ-001-P04,MQ-001-P09;MQ-001-P04;MQ-035-P05;MQ-082-P10;MQ-001-P11;MQ-035-P15;MQ-001-P00;MQ-001-P05,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who did the Huguenots in the state primary Edwards won outside of Georgia buy land from?,1-hop,graphrag,azure,none,0,1480,1622,111,1733,MQ-002-P19,MQ-002-P19;MQ-055-P16;MQ-055-P15;MQ-002-P16;MQ-055-P19;MQ-055-P02;MQ-002-P03;MQ-002-P15,8,,,,,,1.0,0.5,0.6667,0.5,0.125,1,2,1,1-hop,False
Where was Mary's betrothed born?,1-hop,graphrag,azure,none,0,1029,1619,49,1668,MQ-003-P10,MQ-003-P10;MQ-003-P11;MQ-003-P05;MQ-012-P14;MQ-003-P06;MQ-040-P09;MQ-003-P12;MQ-145-P04,8,,,,,,0.0,0.0,0.0,0.5,0.125,1,2,1,1-hop,False
The island where they filmed ninja warrior in Australia is located in what harbor?,1-hop,graphrag,azure,none,0,1275,1902,52,1954,MQ-004-P04;MQ-004-P09,MQ-004-P04;MQ-004-P09;MQ-102-P14;MQ-163-P17;MQ-011-P01;MQ-015-P09;MQ-165-P07;MQ-017-P07,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
Who is the mother of the founder of Mormonism?,1-hop,graphrag,azure,none,0,1457,1544,96,1640,MQ-005-P02;MQ-005-P18;MQ-005-P05,MQ-005-P05;MQ-005-P01;MQ-005-P02;MQ-005-P18;MQ-005-P09;MQ-003-P05;MQ-003-P11;MQ-165-P11,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
"Who wrote ""Turn Me On"" by performer of ""Happy Pills""?",1-hop,graphrag,azure,none,0,1259,1222,82,1304,MQ-006-P15;MQ-006-P00,MQ-006-P15;MQ-006-P00;MQ-007-P06;MQ-020-P11;MQ-023-P06;MQ-007-P08;MQ-020-P19;MQ-006-P12,8,,,,,,1.0,1.0,1.0,1.0,0.25,2,2,1,1-hop,False
"Who wrote the song ""The Story"" that is sung by the performer of ""That Wasn't Me""?",1-hop,graphrag,azure,none,0,1119,980,53,1033,MQ-032-P17;MQ-007-P16;MQ-007-P13,MQ-007-P13;MQ-032-P17;MQ-007-P16;MQ-032-P05;MQ-023-P06;MQ-007-P01;MQ-032-P08;MQ-007-P17,8,,,,,,0.6667,1.0,0.8,1.0,0.25,3,2,1,1-hop,False
Who did Hayek work for upon being hired by the author of Omnipotent Government?,1-hop,graphrag,azure,none,0,1135,1550,41,1591,MQ-008-P17,MQ-008-P17;MQ-008-P09;MQ-008-P04;MQ-008-P01;MQ-008-P05;MQ-008-P07;MQ-008-P12;MQ-008-P08,8,,,,,,1.0,0.5,0.6667,0.5,0.125,1,2,1,1-hop,False
Who is the brother of the Nothin' My Love Can't Fix performer?,1-hop,graphrag,azure,none,0,1587,1003,68,1071,MQ-009-P03,MQ-009-P03;MQ-094-P10;MQ-009-P18;MQ-009-P06;MQ-006-P15;MQ-009-P11;MQ-061-P02;MQ-085-P15,8,,,,,,1.0,0.5,0.6667,0.5,0.125,1,2,1,1-hop,False
